model,metric,mean,seed_sd,ci_low,ci_high,n_groups,n_training_seeds
hemis,full_group_macro_dice,0.7064625735549396,0.0038214510132956,0.6447472815496696,0.7660090665115024,15,3
no_quality,full_group_macro_dice,0.792105492094179,0.0061117734457063,0.7323321733775455,0.8489035992208571,15,3
qmmf,full_group_macro_dice,0.7896603638729757,0.0058100223225154,0.7309919255440702,0.8444763628827253,15,3
unet25d,full_group_macro_dice,0.7748123092533511,0.0092688071475444,0.7174679761293289,0.8306836394108308,15,3
hemis,mean_subset_macro_dice,0.532005498304904,0.0033507051743017,0.4729466185999189,0.5868269467895826,15,3
no_quality,mean_subset_macro_dice,0.6366456075403816,0.0141610526463216,0.5850078794654062,0.6885984546530209,15,3
qmmf,mean_subset_macro_dice,0.629958743281088,0.0088152833793019,0.5765195077023433,0.6833727639063738,15,3
unet25d,mean_subset_macro_dice,0.5978452622461381,0.0091694859869732,0.5374419807410599,0.6568148879667614,15,3
hemis,worst_subset_macro_dice,0.2192034193752725,0.0229986717995063,0.1505588021868452,0.2851162816841788,15,3
no_quality,worst_subset_macro_dice,0.3549645600654336,0.0208549432330404,0.2793333611711999,0.4189017907084342,15,3
qmmf,worst_subset_macro_dice,0.337131379401295,0.0169012251856233,0.2616521840592599,0.4037952040007474,15,3
unet25d,worst_subset_macro_dice,0.3040151175612344,0.0236929489524309,0.2266071872307572,0.3753540602923881,15,3
