model,metric,mean,seed_sd,ci_low,ci_high,n_groups,n_training_seeds
hemis,full_group_macro_dice,0.6836786078318512,0.0006805344385244,0.6473827113904876,0.7180268935808101,51,3
no_quality,full_group_macro_dice,0.7769175757935253,0.0006773627621955,0.7425499624591037,0.8085158490970009,51,3
qmmf,full_group_macro_dice,0.7689410515687559,0.0055439027185586,0.7346148269181999,0.800896708303126,51,3
unet25d,full_group_macro_dice,0.7621439392075557,0.0073594126381011,0.7271511643945319,0.7948594371811499,51,3
hemis,mean_subset_macro_dice,0.5461823211952398,0.0079616667321985,0.5126802706281406,0.5785182273855602,51,3
no_quality,mean_subset_macro_dice,0.6405379574609206,0.0074637400406772,0.6081177666834218,0.6712456567613879,51,3
qmmf,mean_subset_macro_dice,0.6322345017906242,0.0079832736459322,0.6003029866853192,0.662984957706577,51,3
unet25d,mean_subset_macro_dice,0.6033653634982205,0.0077894268901412,0.5692255388493079,0.6362857254357048,51,3
hemis,worst_subset_macro_dice,0.2748147084888892,0.0285565814421705,0.2374204764105808,0.3118439617685373,51,3
no_quality,worst_subset_macro_dice,0.3886075480407762,0.0136694032620928,0.3471777944961047,0.4284101393528658,51,3
qmmf,worst_subset_macro_dice,0.3671591761429968,0.0119713728436353,0.3258722737051271,0.4066185503796304,51,3
unet25d,worst_subset_macro_dice,0.3140075633928041,0.0114789532678346,0.2705959852937375,0.3555940453198337,51,3
