relative_path,label,y,byte_hash,image_id,width,height,phash
brain_tumor_dataset/no/1 no.jpeg,no,0,e4d9d83f89339366f4f77137d440a4c3b62e799a482ebfa6c79c9209d47ffdc9,34eeb369fff52f1ad84bba5d77da167a26ca5249293e3910bb04e8af2bf2ba25,630,630,5351231347706722609
brain_tumor_dataset/no/10 no.jpg,no,0,3c3bdbcf86cd640b0efb1f4a95726f65664a2b760cf385302947c2549ac78eba,550d0cb250962b4ef1a0cbf8dade59019a8a5153041d49dbfea6410b89f2de79,173,201,7784314378106331457
brain_tumor_dataset/no/11 no.jpg,no,0,ab01efa9ce7ad51de522ba8cafa0de7d46ce3332215227459fa9e5794b9ce053,ca42889078e14150119059a5534dd2f3dc957ba0b6233732dab0613222c48b01,300,168,7191727793524921132
brain_tumor_dataset/no/12 no.jpg,no,0,91eb18f61d813028c6de3d9a78b79f807712662d006287ddec80b945f6edeb51,4f32eb2f6b3971b9fb5e331b16ebeba8aeca02becbe749e9b95936fe340dbc92,275,183,5544817443069631289
brain_tumor_dataset/no/13 no.jpg,no,0,c8280173142dbe052a428603990c3124edc9700d71fc33ed07975f164e07db50,11fcbc10ab7e3890752d6a32b8de515b57952b63cccbf6ada00c3ae2da823e58,300,168,3592084985383443244
brain_tumor_dataset/no/14 no.jpg,no,0,111aeacdd05f0a5d85933516c514f1f9626b4ac9a81438c0609847a2efddfa99,69cde100d8dad52331dbbda9ca626fc949c9eef87ca4ebf9382b1b9789ac277e,177,197,7612803136962108257
brain_tumor_dataset/no/15 no.jpg,no,0,e615defa5c0de164da4b279d1c8d9102250cd5b5189de0f5ca4596e7dc90fca2,431754be1638a610ffe6109396a1be83fe84be89b319a9468c7702b7ac1cc451,232,217,7579299758350805396
brain_tumor_dataset/no/17 no.jpg,no,0,2d07d5dc31a6f83f8119f83bb45d75666c3b905eafab47609e407daf9951fd4a,16266df37b596ba5c42fb4225ae4cb15711d304d322448d8f379e0f71b73ae03,218,231,6037991928236031536
brain_tumor_dataset/no/18 no.jpg,no,0,173a41b949f0af0ea4e90b335de0e1885e92e9ad296cd59ab88646ac39e17fc7,87cdc2d151b003be78f52c0dc7c07c1b047f879846b8f7d96b95c39a3d62a70e,228,221,3286612427908217377
brain_tumor_dataset/no/19 no.jpg,no,0,9b1014fc56b1e254bfc3e6cae29a522eae9071ff2d4e125160968da77661c6e4,e4a8a1984d9693e70d8335a1c8c77a39a68f684b5661ac2edc34f8e971dd88f1,200,200,1973445375233313157
brain_tumor_dataset/no/2 no.jpeg,no,0,3163618e3155c4d97bfb4719da81fcc720a161d43a4c2a853e9b7d07064849fe,2e2dad5d3461106137a6841bba1f19176be2ab0e51a7b673e8a68bd2d9f698e4,630,630,6419358843255074564
brain_tumor_dataset/no/20 no.jpg,no,0,a7b267cdd9f7c6faf046cfe749d3c38f189ace9d20c42ecb323bece8e585c398,4da5f26b15d55f6827b7ad2ae5e93bc89be1ce8765d1b22bef6de53f356bd801,194,259,5082958741510953461
brain_tumor_dataset/no/21 no.jpg,no,0,f6b9367846473d64daf63aac8580e1c9ba73d2000d8aaa1d715a118a3a8f0ca9,451abc50aa05888273efbe1c2559bb9d2d200fb87912af9d8635fe993b87d58e,225,225,7377763491273972124
brain_tumor_dataset/no/22 no.jpg,no,0,b85ca032439975a97daac1612b6e61fe00aa4b94396e01900fb71e4a626d06ec,cef45ce59931075ef0d142d02078a7d3fba00c990fd4cf0f33ca9dc99be2362e,207,243,6003073088234536240
brain_tumor_dataset/no/23 no.jpg,no,0,0bc12dee429a9969519f71d07aea7accee2a5ff0bc4ef8871d1d0ffc22393c2f,019da44350c7f407f687bae7972cf5585a64977a32c8894384bc36589526e17d,208,242,6497801159192439076
brain_tumor_dataset/no/24 no.jpg,no,0,b494332cd5c534f3c093f5f26b9dacabad2119be1d8a0e955843adf647c9315d,02fc06d496bbdb0756b65e3b7fdf210a3c07d218b79e0d16eface84e5db72b89,235,214,570574080176711717
brain_tumor_dataset/no/25 no.jpg,no,0,3e7a6a53891855f9773da2427b7621464e87e48634af7203ae4416761d087b60,a01e590d6ec79f518194accaab1cb2a65bcda7fd021499547ee06b2b6a85b684,232,217,2147201717880127073
brain_tumor_dataset/no/26 no.jpg,no,0,f0b66b2ec894464a58025bf5aee105968765c7e0aaa82dbe4defd12d1f9db8cd,61883bfab06bd929d96b99d4cd26106c446d2e909ced077d4420d887aabc3aef,200,252,4997364663013094405
brain_tumor_dataset/no/27 no.jpg,no,0,2d07d5dc31a6f83f8119f83bb45d75666c3b905eafab47609e407daf9951fd4a,16266df37b596ba5c42fb4225ae4cb15711d304d322448d8f379e0f71b73ae03,218,231,6037991928236031536
brain_tumor_dataset/no/28 no.jpg,no,0,912cec46265a5793dd381105a63596ed462bb13e92cd61b8dc51c942a5f063fe,912f80d8f29184808e113f3e9770527dbaf7b490b4f4f27c69b015d174cb381a,201,251,2189272393422350453
brain_tumor_dataset/no/29 no.jpg,no,0,4de73fbc94cb122829e9387d79a8260ac35bbf5f63e835c61764fb14cdbe2dfe,971af0cc2d7eb4517c91e7ea90797e8ef92a6a3095581b4a235ef89a45ad9aa4,215,234,1099852524760808784
brain_tumor_dataset/no/3 no.jpg,no,0,c3da82d44359f4a1507b3e235886d2e0e555d0d31fb27a32bb20e6937d401dfc,4bda8fe0504ef79e0c9e3e86bb23aae41a67fc050c524ee0e18cc8f923a5da1c,225,225,3916339400329274881
brain_tumor_dataset/no/30 no.jpg,no,0,42c0923d95ea398b1e00bc74e55fc93c23b42d8a10d623b66150bfbe4c9fbee1,1aef7dac4e05e817a3496f6a49b890c9f2fc84b3afcda460c74f76723e09851e,208,242,4579113481305592081
brain_tumor_dataset/no/31 no.jpg,no,0,16d05c87bffe4fdd3313816728a6bcd3dbf3fa69a337a261937bffff184828dc,a991b7a12ed71214ee0120e45a25dc86e2af553186f857b5e72ad67280d8a67e,200,252,1349763469385739589
