model,seed,fold,epochs,patience,size,batch,split_hash,protocol,macro_f1,accuracy,balanced_accuracy,sensitivity,specificity,auroc,average_precision,brier,log_loss,config_hash,best_epoch,epochs_run,inner_validation_macro_f1,parameters,wall_seconds,peak_gpu_gb
full,42,0,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.8221343873517787,0.8222222222222222,0.8273809523809523,0.9047619047619048,0.75,0.8928571428571428,0.9107395661627375,0.15794930348475045,0.4908166936779607,0b0895d99c959e4a00db1accd7e2ef7dcc699cb5f28ca14933f62d34336882e6,7,19,0.7777777777777777,338170,5.589999841000008,0.2008962631225586
no_attention,42,0,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.8441365660564077,0.8444444444444444,0.8452380952380952,0.8571428571428571,0.8333333333333334,0.8968253968253967,0.9195547412247254,0.13059826757271228,0.41411024457684337,d6094df650dcf8db51e454277610c33516c5c67f2fab44ec6f35c97db8ca5fc4,24,36,0.7381818181818182,328306,3.4478751109999735,0.18642711639404297
no_multiscale,42,0,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.8432055749128919,0.8444444444444444,0.8422619047619048,0.8095238095238095,0.875,0.9047619047619047,0.916961771213209,0.13490365364111231,0.4949136600412008,5e7420cf1fe89fc2b2a6b410e80cb6fd4ecfa92966d2cf0f0268efd0d9461e9d,41,53,0.7381818181818182,338170,7.103272710999988,0.2008962631225586
no_attention_no_multiscale,42,0,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.7776679841897234,0.7777777777777778,0.7797619047619048,0.8095238095238095,0.75,0.8829365079365079,0.9018682143654504,0.16053213800996013,0.5106035914977549,e5a8fec118f1458af760c3fefe7daf9a2afbf79e485727dd8c778b4f2b374946,49,60,0.7647058823529411,328306,5.8192626039999595,0.18642711639404297
no_augmentation,42,0,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.6098929117797043,0.6222222222222222,0.6369047619047619,0.8571428571428571,0.4166666666666667,0.8531746031746031,0.9069134992498293,0.2718146672081696,0.8225471586965426,052f40b169519f4ce0d616ef7ce97865e5469ed02020dadfe566e8c2da9093f2,39,51,0.8074866310160428,338170,6.6404213240000445,0.2008962631225586
plain_cnn,42,0,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.709051724137931,0.7333333333333333,0.7172619047619048,0.47619047619047616,0.9583333333333334,0.8432539682539683,0.8607356361876812,0.1882103836023689,0.6071563865818675,4b748180f733fa24f107a80a83969b46badc0da9c9205d70dfd2997de8e75564,24,36,0.6884343036978757,261874,2.6016915559999916,0.19661283493041992
narrow_resnet_gn,42,0,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.8200000000000001,0.8222222222222222,0.8184523809523809,0.7619047619047619,0.875,0.871031746031746,0.9034397682517985,0.13603210929000153,0.5242669909444685,059e7ac2ef8dc26beb6b7c667cec54d1a887fde29fa4270b7c2db13e5c62c1f1,25,37,0.904170363797693,700786,3.616122523999991,0.10411930084228516
full,42,1,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.8143939393939394,0.8367346938775511,0.8264705882352941,0.8529411764705882,0.8,0.9058823529411765,0.9502860904715014,0.12310844767755734,0.393048703648193,0caae903bcbf5c6e2522d0ce24bf4d10af9cefee7fdaa0bd0f740943557781f0,34,46,0.9066666666666667,338170,6.609310036000011,0.2008962631225586
no_attention,42,1,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.6198275862068966,0.6326530612244898,0.6607843137254902,0.5882352941176471,0.7333333333333333,0.776470588235294,0.881518064735859,0.23159215300882297,0.6699271283597588,e27db6ad5a221dd3df9c2eda31ae806a77b69b97c84a1ca4a85bd83b69559d6e,27,39,0.8444444444444444,328306,3.737430686000039,0.18642711639404297
no_multiscale,42,1,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.6991228070175439,0.7142857142857143,0.7382352941176471,0.6764705882352942,0.8,0.8098039215686275,0.9042172153956821,0.23319668985048092,0.8102592166241257,29ebafa4749f9f1d0b1554a8e6870cf2999e8365bfa3d18577d8efd4638b4361,22,34,0.8809523809523809,338170,4.5604842669999925,0.2008962631225586
