model,seed,macro_f1,accuracy,balanced_accuracy,sensitivity,specificity,auroc,average_precision,brier,log_loss
full,42,0.7548387096774194,0.7631578947368421,0.7622890682318415,0.7659574468085106,0.7586206896551724,0.8282383630879595,0.8838233582747872,0.1748525448315683,0.5419486653743231
full,43,0.767911674888419,0.7719298245614035,0.7847884568354121,0.7304964539007093,0.8390804597701149,0.8488628026412326,0.8897812459199008,0.16875354577114055,0.539749076620151
full,44,0.8008891711654493,0.8070175438596491,0.8109562240156518,0.7943262411347518,0.8275862068965517,0.8599494578951659,0.919395767200172,0.1603151729786259,0.5477317836552179
narrow_resnet_gn,42,0.7529502157252901,0.7587719298245614,0.7653460503790658,0.7375886524822695,0.7931034482758621,0.8269340507051439,0.8717745712839203,0.18031286724228188,0.5874763255205357
narrow_resnet_gn,43,0.7696637321402799,0.7850877192982456,0.7668134018097335,0.8439716312056738,0.6896551724137931,0.80125540066846,0.8357098568454409,0.17296589806199672,0.5886181567030028
narrow_resnet_gn,44,0.703125,0.7105263157894737,0.7131327953044755,0.7021276595744681,0.7241379310344828,0.7838917420722262,0.8452039361570252,0.21631059340423664,0.7092649689494991
no_attention,42,0.7424647761726413,0.75,0.751650770359501,0.7446808510638298,0.7586206896551724,0.8518790250264939,0.8947089764232774,0.16962773529933473,0.5165401900163011
no_attention,43,0.72390625,0.7280701754385965,0.7405233553436048,0.6879432624113475,0.7931034482758621,0.8347599250020379,0.8752878153038249,0.18376086618695342,0.5677453765711608
no_attention,44,0.7375357256271833,0.7456140350877193,0.7459036439227195,0.7446808510638298,0.7471264367816092,0.8504116735958263,0.9033257487231261,0.1783815460622459,0.5770886783518943
no_attention_no_multiscale,42,0.7307392061490422,0.7412280701754386,0.735754463193935,0.7588652482269503,0.7126436781609196,0.8284014021358115,0.8761059146567762,0.1721352368775615,0.5236025146553837
no_attention_no_multiscale,43,0.7398284410167624,0.7456140350877193,0.7525067253607239,0.723404255319149,0.7816091954022989,0.8359011983370017,0.8755222270996712,0.1754513173314599,0.535503689182848
no_attention_no_multiscale,44,0.7470907367444487,0.7587719298245614,0.7499388603570556,0.7872340425531915,0.7126436781609196,0.8161734735469145,0.8555634433633091,0.1738604956985797,0.5228890445920468
no_augmentation,42,0.6436034553681613,0.6666666666666666,0.6424553680606505,0.7446808510638298,0.5402298850574713,0.6925083557512024,0.7593465812554514,0.23365310598796896,0.7353524808965948
no_augmentation,43,0.6919423517851293,0.7105263157894737,0.6911225238444607,0.7730496453900709,0.6091954022988506,0.7352245862884161,0.7935345594042643,0.21311620055981662,0.6707567255273738
no_augmentation,44,0.741645627497366,0.75,0.7494497432134997,0.75177304964539,0.7471264367816092,0.8121790168745415,0.8767782455039264,0.19301699468523106,0.6289593725796386
no_multiscale,42,0.7424647761726413,0.75,0.751650770359501,0.7446808510638298,0.7586206896551724,0.8460911388277491,0.8978739193975065,0.18117383817769572,0.6181807390399155
no_multiscale,43,0.7119100024455858,0.7280701754385965,0.7119100024455858,0.7801418439716312,0.6436781609195402,0.7935925654194179,0.8565687680885015,0.18991882334744928,0.5933262915553144
no_multiscale,44,0.7577713071535375,0.7631578947368421,0.7710931768158473,0.7375886524822695,0.8045977011494253,0.8398141354854488,0.8977944451286637,0.17630054310281554,0.5772352098817164
plain_cnn,42,0.6775855723224145,0.6798245614035088,0.6993152359990218,0.6170212765957447,0.7816091954022989,0.8207385668867694,0.8565740608987327,0.18791316674402542,0.5671954598679345
plain_cnn,43,0.6814288317842172,0.6973684210526315,0.6826852531181218,0.7446808510638298,0.6206896551724138,0.7741093992011087,0.8371690854008331,0.19440005080642123,0.5688762311543843
plain_cnn,44,0.7768381489311722,0.7807017543859649,0.7940816825629737,0.7375886524822695,0.8505747126436781,0.8730741012472486,0.9100438828356254,0.15319283190285626,0.48475837189557386
