model,subset,mean,seed_sd,n_groups,n_training_seeds
qmmf,t1,0.3920900256307399,0.0083473330532522,51,3
qmmf,t1ce,0.6026823992573589,0.0186934960451357,51,3
qmmf,t2,0.5002513569399618,0.0063651020888573,51,3
qmmf,flair,0.5380425612554899,0.0116895444583745,51,3
qmmf,t1+t1ce,0.6274094335383148,0.0203499785328406,51,3
qmmf,t1+t2,0.5464392431630186,0.0055641721973887,51,3
qmmf,t1+flair,0.5789651611615778,0.0067034390995589,51,3
qmmf,t1ce+t2,0.7314351703195028,0.0032206856938575,51,3
qmmf,t1ce+flair,0.752486328078092,0.0095881665414915,51,3
qmmf,t2+flair,0.5853199732224892,0.0140498943962275,51,3
qmmf,t1+t1ce+t2,0.7322969791133196,0.0070653935799689,51,3
qmmf,t1+t1ce+flair,0.7559717176339028,0.0095590489126047,51,3
qmmf,t1+t2+flair,0.5978306829931133,0.0091328104391572,51,3
qmmf,t1ce+t2+flair,0.7718421392034486,0.0043008867100649,51,3
qmmf,t1+t1ce+t2+flair,0.7704543553490325,0.0057380810591258,51,3
hemis,t1,0.3096401177225317,0.0177775286405069,51,3
hemis,t1ce,0.4975733900611025,0.0280948243259985,51,3
hemis,t2,0.4153942551360667,0.028950773583157,51,3
hemis,flair,0.4631488179679792,0.0156700784348292,51,3
hemis,t1+t1ce,0.4980016205291764,0.018432582789462,51,3
hemis,t1+t2,0.4798541773093035,0.0147305209883869,51,3
hemis,t1+flair,0.5001292945904497,0.0061935507844641,51,3
hemis,t1ce+t2,0.65586113118702,0.0112740870752411,51,3
hemis,t1ce+flair,0.6310601619649819,0.0056552090067485,51,3
hemis,t2+flair,0.5355119651429083,0.006012361314664,51,3
hemis,t1+t1ce+t2,0.645796123324852,0.0184817507910718,51,3
hemis,t1+t1ce+flair,0.6421754211872464,0.0041100032362685,51,3
hemis,t1+t2+flair,0.5595046607694774,0.0048458127413231,51,3
hemis,t1ce+t2+flair,0.6746224295365316,0.0071605890824196,51,3
hemis,t1+t1ce+t2+flair,0.6844612514989695,0.0006214753023314,51,3
no_quality,t1,0.4089290268898833,0.0160974067800743,51,3
no_quality,t1ce,0.6071146723590138,0.0446908059605888,51,3
no_quality,t2,0.5053695265877574,0.0048969041105553,51,3
no_quality,flair,0.548075919085571,0.0030487669442975,51,3
no_quality,t1+t1ce,0.6381908450808963,0.0354691027014578,51,3
no_quality,t1+t2,0.5528653374152683,0.0047068413719639,51,3
no_quality,t1+flair,0.5855207992528673,0.0011052706031492,51,3
no_quality,t1ce+t2,0.739123523818713,0.0044928760311492,51,3
no_quality,t1ce+flair,0.7589007254165505,0.0030427204189142,51,3
no_quality,t2+flair,0.5920830428836542,0.0029766169912704,51,3
no_quality,t1+t1ce+t2,0.7463597127244022,0.001331238058549,51,3
no_quality,t1+t1ce+flair,0.7650841039427726,0.0036117225908936,51,3
no_quality,t1+t2+flair,0.6061869018529347,0.0019104026706019,51,3
no_quality,t1ce+t2+flair,0.7754348333877271,0.0011870367101414,51,3
no_quality,t1+t1ce+t2+flair,0.7788303912157969,0.0008361411818667,51,3
unet25d,t1,0.3397835348085505,0.0136377879777988,51,3
unet25d,t1ce,0.5193899965661596,0.0229326247616475,51,3
unet25d,t2,0.4777755969156729,0.0072903875862221,51,3
unet25d,flair,0.52815712376577,0.0083438719983916,51,3
unet25d,t1+t1ce,0.5739764767854135,0.020883102250597,51,3
unet25d,t1+t2,0.5225461211808894,0.0059842557728964,51,3
unet25d,t1+flair,0.5635191266169625,0.0073059377926348,51,3
unet25d,t1ce+t2,0.6894521566106556,0.0168395472907165,51,3
unet25d,t1ce+flair,0.7213731485374919,0.0105416405690706,51,3
unet25d,t2+flair,0.5702138900095276,0.0008970525779327,51,3
unet25d,t1+t1ce+t2,0.7061644390466103,0.0116213048338263,51,3
unet25d,t1+t1ce+flair,0.7418766850804666,0.0078317687988743,51,3
unet25d,t1+t2+flair,0.5808821711761645,0.0027687041628085,51,3
unet25d,t1ce+t2+flair,0.7520034749092978,0.0100987690461451,51,3
unet25d,t1+t1ce+t2+flair,0.7633665104636732,0.0073804242656309,51,3
