model,modality,mean,seed_sd,n_groups,n_training_seeds,empty_value
qmmf,t1,0.1084001794882769,0.0023199558808191,51,3,0.0
qmmf,t1ce,0.2963543051127614,0.0075572050818644,51,3,0.0
qmmf,t2,0.1681408552548827,0.0049772515238883,51,3,0.0
qmmf,flair,0.1975590154931112,0.0044402101643772,51,3,0.0
hemis,t1,0.0904456996087795,0.0069146872382868,51,3,0.0
hemis,t1ce,0.2426190168526961,0.0063874698218592,51,3,0.0
hemis,t2,0.1687197783981034,0.0041849672607588,51,3,0.0
hemis,flair,0.1826767566393903,0.0150509654701455,51,3,0.0
no_quality,t1,0.115042837022645,0.0032313336406036,51,3,0.0
no_quality,t1ce,0.2974603814518073,0.0120240005822127,51,3,0.0
no_quality,t2,0.1685557337983552,0.0077441468274773,51,3,0.0
no_quality,flair,0.1977714389429892,0.0082686050515794,51,3,0.0
unet25d,t1,0.1030035682141672,0.0056086988808648,51,3,0.0
unet25d,t1ce,0.2740394996027973,0.013130091748725,51,3,0.0
unet25d,t2,0.1727382593957863,0.0014496272884333,51,3,0.0
unet25d,flair,0.2135851832509223,0.0039636309392975,51,3,0.0
