case_id,region,dice,hd95,nsd,volume_pred_ml,volume_ref_ml,volume_error_ml,relative_volume_error,reference_empty,prediction_empty,lesion_recall,lesion_precision,lesion_f1,model,seed
BRATS_023,et,0.0,,,0.235,0.0,0.235,,True,False,,,,qmmf,43
BRATS_027,et,0.0,,,0.219,0.0,0.219,,True,False,,,,qmmf,43
BRATS_023,et,0.0,,,0.182,0.0,0.182,,True,False,,,,no_quality,43
BRATS_027,et,0.0,,,0.335,0.0,0.335,,True,False,,,,no_quality,43
BRATS_023,et,0.0,,,0.834,0.0,0.834,,True,False,,,,qmmf,44
BRATS_027,et,0.0,,,0.867,0.0,0.867,,True,False,,,,qmmf,44
BRATS_023,et,0.0,,,6.191,0.0,6.191,,True,False,,,,unet25d,42
BRATS_027,et,0.0,,,2.013,0.0,2.013,,True,False,,,,unet25d,42
BRATS_023,et,0.0,,,14.706,0.0,14.706,,True,False,,,,hemis,43
BRATS_027,et,0.0,,,2.216,0.0,2.216,,True,False,,,,hemis,43
BRATS_023,et,0.0,,,19.343,0.0,19.343,,True,False,,,,hemis,44
BRATS_027,et,0.0,,,3.633,0.0,3.633,,True,False,,,,hemis,44
BRATS_023,et,0.0,,,0.939,0.0,0.939,,True,False,,,,qmmf,42
BRATS_027,et,0.0,,,0.868,0.0,0.868,,True,False,,,,qmmf,42
BRATS_023,et,0.0,,,1.863,0.0,1.863,,True,False,,,,no_quality,42
BRATS_027,et,0.0,,,0.872,0.0,0.872,,True,False,,,,no_quality,42
BRATS_023,et,0.0,,,2.588,0.0,2.588,,True,False,,,,unet25d,44
BRATS_027,et,0.0,,,2.119,0.0,2.119,,True,False,,,,unet25d,44
BRATS_023,et,0.0,,,0.97,0.0,0.97,,True,False,,,,unet25d,43
BRATS_027,et,0.0,,,0.383,0.0,0.383,,True,False,,,,unet25d,43
BRATS_023,et,0.0,,,1.421,0.0,1.421,,True,False,,,,no_quality,44
BRATS_027,et,0.0,,,1.398,0.0,1.398,,True,False,,,,no_quality,44
BRATS_023,et,0.0,,,24.33,0.0,24.33,,True,False,,,,hemis,42
BRATS_027,et,0.0,,,9.887,0.0,9.887,,True,False,,,,hemis,42
