case_id,source_sha256,slab_sha256,source_bytes,slab_bytes,voxel_equality_verified,image_depth
BRATS_001,50ac468ab6bda888017d1348cb231e928384f531039fb6f5604a09d90c505ae2,9965022116361caab2f4a9faf0829dc9264146135b523eb4a3ab95b7151c5ded,9265750,8902997,True,148
BRATS_002,72e1de79069e839d39af6909cdfe41fa65cdf0538017ed696cdc3dc6b4652c19,4aa2b6811dcededed967659638af6275aac939f06610f7ad15bd35d5019b0a56,10116102,9804408,True,154
BRATS_003,d5491618110006427380ed8211f805524a9f99ef14519e5f4c16cd0d7323e721,161085ed03c14722cb1c38b29b3f5da82ac47be2810b45e8557c723b8e84b2fc,10893466,10415051,True,155
BRATS_004,f7ab63c92ba84237a5c8b41eee378229693e462545e6507b44b068ce214a1a3a,087bc28e29d4ffd924d601b9ebadf3479df0f90f01ee862362d1f0d48f375758,7857041,7598545,True,146
BRATS_005,0d6e236b0e3a87f7c0dc48fe19e331fed3e0c009414fa0b13ee01b01a2f82cc0,79baa4a30e99431c1e6ac8a49bf2f4491f4fed8c6c08abace49007f680e5c189,9636409,9307695,True,152
BRATS_006,e606eb3232f98614e039b0a191957bbfbc658a1f689b14e890e8db5d257cf898,2e3a51562279cdfc390d6a7671408c4b4f9722c11af0a9fc217e9850708b99ef,8918348,8502222,True,154
BRATS_007,cdee18b54eb8baa97e18faccdb329964edd5c990ae795e9cf3a69c419f12b9ab,0ac821fd01a2c312280def2c483c1c9581cf40e6c6ffe657a133b20c2068e062,10029430,9589425,True,145
BRATS_008,3fbc449b695c3fc9d466e3524ba34b5a313d846c7f9ddfbb809b5eb25f57d8ed,6e6e5ee1a0b376b1c7fe507c61bbc7bbc7cacb759704f73591ab71080fd2307d,10295379,9876396,True,151
BRATS_009,8c5975ee12c0b29069f53ce75680d9f666012ab1f258c9516ecbfb7785ad291d,a53a432fd074aaa07a627d719794102f8a28a330bf2af910bd40e292cf079ada,7581944,7191650,True,146
BRATS_010,cfd1ea1dd48c85ea6f8fc58b3765f46d4d88e464595c7fa7acef9a95c2660be4,18284e6e8b4af7aa8f34f5740c154924b895b7866ec6d2e59fa97b98288d1352,9930895,9614657,True,150
BRATS_011,af9464d56eb086bfac0c7c53d8109973d02a6665fde1bae4a36a4439347a7aec,6ba3b02ac518b9f85a3a7f2ced89980ccff198c0cb398f22c0477d83f2dc4223,8431059,8020882,True,148
BRATS_012,63f8893cee1082058fde978bc671a73dfbcb3b66dc86fa2a7bb3810505c8af69,81fb3915246d0d4e53077eda13ae46718e36b06580292622d53760f3fec6d7e1,9752640,9355516,True,152
BRATS_013,204521e9f1a9c59c04534a2576389e5473b097df87fa65eb2b33f269dbef7743,c5ff2fabb7194fdd6817ba1ed2e7037b1652b0214a3a77e9efbb8c246bf94a39,9773588,9407463,True,144
BRATS_014,4467a0849a05d1320790b997e3ba11df5f7c5a5fb1ba4ec02ba7a392e7f0e46b,bedd918fe3ea323437dc860c8ea0b17532e9780384ad83caad21982a15a6484f,10364090,9908309,True,152
BRATS_015,fc5b75e00a36e00d283a6eb218ef615f88a6b8a8d4119c6c07b443d4b5931b8b,13913eaf358dda4058289198b17e26ddab73bf09b2eff709a75fd132eb287941,11056776,10709320,True,152
BRATS_016,e45875e2607d352750455581c766f41b8e4dcf89108c86acbc246775573bc189,ba39e66ef25680c661296bba080c515ca5107f2e42afb26a94f0fc76fd4ab527,8398622,8099923,True,151
BRATS_017,4ee9a8a19cbfdef4b9f71f34c8f3104b755b6d7bd330c364244228a741fbf6ea,3fb6dfa26cd0139eff2b2cdaa66499e45122eef26e468611484f139f4c169ff0,6937769,6637457,True,150
BRATS_018,f809d9162204ccbe5f46f3d3cf26b5814ca5c5ae5002459c5567a15382682e52,10440ea0884b79df22da0d3b08f20d4cc49e39cf8f4e2ade6d9e066dbc40a904,8118497,7821240,True,152
BRATS_019,680b6f829dd560e364f380097211ae1103a6fe0b401120acbadcabaf9c32e3ba,bddd7c79124ae3d972f3aa76c9c94180877c5dd0bed4ceda4d59510afb4eb232,8003192,7644180,True,151
BRATS_020,fbbce8e0a893ca7dda12b7df7411ab854324d6ffd478d7f6a771c7ff6da6948e,50bb5f260bb7ed2d256abed1070e2323cba780c07b3519e8df356232a3e89423,7822188,7441712,True,152
BRATS_021,1c0610e1306e6173fa8dca4b7bfcef5fee42fd6a14eb4b801551d6c8ec654aa1,461e2e092d91280d27cb78bd6cf5336a89409a04db2cfe2ca76fa064ca99793b,7330035,6941805,True,148
BRATS_022,5d37bb0ba64dec7879ded5e458cb6f29a94171b774d63c1e5a4ba721bf218253,3ccc4cea7e100a7fdf7592f3672b31f103329daaa1fd276cb68b4721b8170df5,8184951,7765028,True,148
BRATS_023,63c0afa5fa583fab998c3a652994ca20581e4a5183e4ea9725e6619d3423cdf4,5280154410346d37462a0740dea383e3ca6f4ca3154d2f1e3c797c8bf633bea7,9249020,8822500,True,150
BRATS_024,02471f319a2f652b92eb7ff2e0c0eca3c98647ca84df167667ad221acad25f63,8578009d9e1933b8ee5df7aeac4ce919f26b7bdb35649dd04b2c8d17281782b0,9185294,8843643,True,147
BRATS_025,d6f8d59bd878de8af07675b18708d74814d87b5c681fd559583b3f8a8d705fec,8eb95c89f65b9fb9f4b94e8befa3dfde1f9f3f760b7c0d06c0a8dd02e941e2d2,8215654,7853232,True,151
BRATS_026,517053bd1bb13e540855f62c125ee82c0f178fb1e548a18df641f247124ec39a,6b37194fcedd1eea20a77b7c46a2118a972d3d33242c9b53fe375af5edc4f2aa,6409253,6151486,True,146
