model,case_id,subset,group_id,n_modalities,macro_dice
qmmf,BRATS_021,flair,sg_8a56096263e207fc,1,0.0531501804954601
qmmf,BRATS_021,t1,sg_8a56096263e207fc,1,0.006113491141689661
qmmf,BRATS_021,t1+flair,sg_8a56096263e207fc,2,0.005755871758736383
qmmf,BRATS_021,t1+t1ce,sg_8a56096263e207fc,2,0.04854768438314986
qmmf,BRATS_021,t1+t1ce+flair,sg_8a56096263e207fc,3,0.050579899106462684
qmmf,BRATS_021,t1+t1ce+t2,sg_8a56096263e207fc,3,0.23139882526299874
qmmf,BRATS_021,t1+t1ce+t2+flair,sg_8a56096263e207fc,4,0.23903346350905355
qmmf,BRATS_021,t1+t2,sg_8a56096263e207fc,2,0.24634511418589375
qmmf,BRATS_021,t1+t2+flair,sg_8a56096263e207fc,3,0.2572089043277078
qmmf,BRATS_021,t1ce,sg_8a56096263e207fc,1,0.08464374920735566
qmmf,BRATS_021,t1ce+flair,sg_8a56096263e207fc,2,0.08345560781014494
qmmf,BRATS_021,t1ce+t2,sg_8a56096263e207fc,2,0.2209857012051297
qmmf,BRATS_021,t1ce+t2+flair,sg_8a56096263e207fc,3,0.23302210916853602
qmmf,BRATS_021,t2,sg_8a56096263e207fc,1,0.23268380323017454
qmmf,BRATS_021,t2+flair,sg_8a56096263e207fc,2,0.25238507896718676
qmmf,BRATS_111,flair,sg_74969a1c98337c11,1,0.27730934743707464
qmmf,BRATS_111,t1,sg_74969a1c98337c11,1,0.005758104994507924
qmmf,BRATS_111,t1+flair,sg_74969a1c98337c11,2,0.2145263793584109
qmmf,BRATS_111,t1+t1ce,sg_74969a1c98337c11,2,0.044996832104627404
qmmf,BRATS_111,t1+t1ce+flair,sg_74969a1c98337c11,3,0.20301043605662664
qmmf,BRATS_111,t1+t1ce+t2,sg_74969a1c98337c11,3,0.1693129115421714
qmmf,BRATS_111,t1+t1ce+t2+flair,sg_74969a1c98337c11,4,0.2126128637710186
qmmf,BRATS_111,t1+t2,sg_74969a1c98337c11,2,0.18108907189458742
qmmf,BRATS_111,t1+t2+flair,sg_74969a1c98337c11,3,0.22397625596101323
qmmf,BRATS_111,t1ce,sg_74969a1c98337c11,1,0.06783600399481897
qmmf,BRATS_111,t1ce+flair,sg_74969a1c98337c11,2,0.22344110521703228
qmmf,BRATS_111,t1ce+t2,sg_74969a1c98337c11,2,0.18456100066728845
qmmf,BRATS_111,t1ce+t2+flair,sg_74969a1c98337c11,3,0.22768667028607123
qmmf,BRATS_111,t2,sg_74969a1c98337c11,1,0.20529077411601182
