model,seed,metric,value,n_groups
hemis,42,full_group_macro_dice,0.7035252942740013,15
no_quality,42,full_group_macro_dice,0.7990576558238324,15
qmmf,42,full_group_macro_dice,0.7865672300162417,15
unet25d,42,full_group_macro_dice,0.7654565796465147,15
hemis,43,full_group_macro_dice,0.7107830162507311,15
no_quality,43,full_group_macro_dice,0.7875785347568486,15
qmmf,43,full_group_macro_dice,0.7860512784084467,15
unet25d,43,full_group_macro_dice,0.7749886711320566,15
hemis,44,full_group_macro_dice,0.7050794101400861,15
no_quality,44,full_group_macro_dice,0.7896802857018559,15
qmmf,44,full_group_macro_dice,0.7963625831942384,15
unet25d,44,full_group_macro_dice,0.7839916769814818,15
hemis,42,mean_subset_macro_dice,0.5356372916520734,15
no_quality,42,mean_subset_macro_dice,0.6473071886174053,15
qmmf,42,mean_subset_macro_dice,0.6229074469402961,15
unet25d,42,mean_subset_macro_dice,0.5873208568832327,15
hemis,43,mean_subset_macro_dice,0.5313449297135907,15
no_quality,43,mean_subset_macro_dice,0.6205778049056005,15
qmmf,43,mean_subset_macro_dice,0.627126826194788,15
unet25d,43,mean_subset_macro_dice,0.6041110296157074,15
hemis,44,mean_subset_macro_dice,0.529034273549048,15
no_quality,44,mean_subset_macro_dice,0.6420518290981387,15
qmmf,44,mean_subset_macro_dice,0.6398419567081799,15
unet25d,44,mean_subset_macro_dice,0.602103900239474,15
hemis,42,worst_subset_macro_dice,0.24575794919989188,15
no_quality,42,worst_subset_macro_dice,0.3660060752763982,15
qmmf,42,worst_subset_macro_dice,0.3227355936507277,15
unet25d,42,worst_subset_macro_dice,0.3001325351102571,15
hemis,43,worst_subset_macro_dice,0.20621183590523495,15
no_quality,43,worst_subset_macro_dice,0.3309102554805449,15
qmmf,43,worst_subset_macro_dice,0.3329177681144198,15
unet25d,43,worst_subset_macro_dice,0.28250326411066684,15
hemis,44,worst_subset_macro_dice,0.20564047302069063,15
no_quality,44,worst_subset_macro_dice,0.36797734943935784,15
qmmf,44,worst_subset_macro_dice,0.35574077643873764,15
unet25d,44,worst_subset_macro_dice,0.32940955346277917,15
