reference,control,metric,difference,ci_low,ci_high,bonferroni_ci_low,bonferroni_ci_high,comparison_family_size,family_definition,n_groups,n_training_seeds
qmmf,hemis,outer_macro_dice,0.09802079903782601,0.08079380860879203,0.11664576280636235,0.07498256606232045,0.1246345713531358,8,all prespecified controls versus QMMF for this endpoint,55,3
qmmf,matched_moment_fusion,outer_macro_dice,-0.00454403045273688,-0.011171349131865632,0.0013670544702655022,-0.01389234889909044,0.0033595212778370948,8,all prespecified controls versus QMMF for this endpoint,55,3
qmmf,no_consistency,outer_macro_dice,0.0008632361536697886,-0.0014679068223618363,0.0032531968006620977,-0.0023235435557615327,0.004374836814603012,8,all prespecified controls versus QMMF for this endpoint,55,3
qmmf,no_max,outer_macro_dice,-0.0013727026813811216,-0.006645233893120517,0.0033364232373309004,-0.008811966798500088,0.0051022432313278104,8,all prespecified controls versus QMMF for this endpoint,55,3
qmmf,no_quality,outer_macro_dice,-0.005405713402306667,-0.01114276800568226,0.0005985267404845725,-0.01348970471998877,0.002888953986244778,8,all prespecified controls versus QMMF for this endpoint,55,3
qmmf,no_variance,outer_macro_dice,-0.0020972050352773275,-0.008174194440302318,0.003737531908881904,-0.010950624172744694,0.005906188705074113,8,all prespecified controls versus QMMF for this endpoint,55,3
qmmf,shuffled_quality,outer_macro_dice,0.0008094431298762972,-0.004479573027805053,0.007394899024047141,-0.006206828625579607,0.010674537473673834,8,all prespecified controls versus QMMF for this endpoint,55,3
qmmf,unet25d,outer_macro_dice,0.018717752208443628,0.008979480367722397,0.029699941023225266,0.005898869640791844,0.034332554873611844,8,all prespecified controls versus QMMF for this endpoint,55,3
qmmf,hemis,mean_subset_macro_dice,0.10885878530760684,0.08297504592749687,0.13088662508671753,0.07155810113655549,0.13807836991020458,8,all prespecified controls versus QMMF for this endpoint,16,3
qmmf,matched_moment_fusion,mean_subset_macro_dice,-0.005655082584702376,-0.010954450682597214,-0.00081538169878688,-0.013273892320830719,0.0009533484304616865,8,all prespecified controls versus QMMF for this endpoint,16,3
qmmf,no_consistency,mean_subset_macro_dice,0.005014042936762331,0.0022381104782492082,0.008562946017464762,0.0014794935894576454,0.01021998592259802,8,all prespecified controls versus QMMF for this endpoint,16,3
qmmf,no_max,mean_subset_macro_dice,-0.003639081927504506,-0.009896808621071543,0.001237519674765255,-0.01223604982342488,0.002843980453854505,8,all prespecified controls versus QMMF for this endpoint,16,3
qmmf,no_quality,mean_subset_macro_dice,-0.0059302428722673994,-0.013008780691076808,-0.00014982378232244344,-0.015533527148863729,0.0018960622292430172,8,all prespecified controls versus QMMF for this endpoint,16,3
qmmf,no_variance,mean_subset_macro_dice,-0.0020916951384662985,-0.008808701923052786,0.00418862199955689,-0.011654917257185824,0.006617211868099213,8,all prespecified controls versus QMMF for this endpoint,16,3
qmmf,shuffled_quality,mean_subset_macro_dice,0.003629033134022963,-7.099371135089447e-05,0.007298894234546371,-0.0014175788829626805,0.008890433298963184,8,all prespecified controls versus QMMF for this endpoint,16,3
qmmf,unet25d,mean_subset_macro_dice,0.038421740093489753,0.022842505386094836,0.0553238410933879,0.017848918672459607,0.062200935920658056,8,all prespecified controls versus QMMF for this endpoint,16,3
qmmf,hemis,worst_subset_macro_dice,0.10685339288839946,0.027977857102019603,0.16087374172384755,-0.011889114551973027,0.17111961479693275,8,all prespecified controls versus QMMF for this endpoint,16,3
qmmf,matched_moment_fusion,worst_subset_macro_dice,-0.018424463553779524,-0.029330919608636506,-0.007661495135778723,-0.03347856205670429,-0.0034844809614322197,8,all prespecified controls versus QMMF for this endpoint,16,3
qmmf,no_consistency,worst_subset_macro_dice,0.0012830705126150033,-0.003514563557489983,0.006455850205469849,-0.005039573562680766,0.008662524251478166,8,all prespecified controls versus QMMF for this endpoint,16,3
qmmf,no_max,worst_subset_macro_dice,-0.001673383740057044,-0.015734871128148968,0.008015315281296696,-0.021456530368220927,0.010116137493409061,8,all prespecified controls versus QMMF for this endpoint,16,3
qmmf,no_quality,worst_subset_macro_dice,-0.013015591363152168,-0.026649430591856035,-0.0010333538807784162,-0.03156251895812634,0.0033285801457432025,8,all prespecified controls versus QMMF for this endpoint,16,3
qmmf,no_variance,worst_subset_macro_dice,-0.005570112233502622,-0.014305291601155963,0.0031256284594633568,-0.017712341646796293,0.0060637774963609595,8,all prespecified controls versus QMMF for this endpoint,16,3
qmmf,shuffled_quality,worst_subset_macro_dice,0.016075435436560814,0.004788768667975451,0.02823552296640932,0.0008554529891283164,0.03256281978607593,8,all prespecified controls versus QMMF for this endpoint,16,3
qmmf,unet25d,worst_subset_macro_dice,0.04950619597049033,0.02513093266411833,0.0768684655503621,0.017924239761943017,0.08882729534179816,8,all prespecified controls versus QMMF for this endpoint,16,3
