model,region,dice_nonempty_reference,group_dice_nonempty_reference,n_groups_with_nonempty_reference,n_nonempty_reference,n_empty_reference,n_empty_predictions,n_empty_reference_false_positives,seed
qmmf,et,0.7876453553446863,0.7783783551230241,53,89,2,0,2,42
qmmf,tc,0.7909729736359209,0.7761956171847291,55,91,0,0,0,42
qmmf,wt,0.8623434390031298,0.8586900211225198,55,91,0,0,0,42
hemis,et,0.6292784797379515,0.6306575588221079,53,89,2,0,2,42
hemis,tc,0.6795422718275788,0.6803599750680723,55,91,0,0,0,42
hemis,wt,0.8096979093945071,0.8055383337605092,55,91,0,0,0,42
unet25d,et,0.7675679127022933,0.7584678495197756,53,89,2,0,2,42
unet25d,tc,0.7678696207095459,0.7502195433358617,55,91,0,0,0,42
unet25d,wt,0.8425638524488765,0.8299066257903026,55,91,0,0,0,42
no_quality,et,0.7976008515409113,0.7910596025480577,53,89,2,0,2,42
no_quality,tc,0.8077100776459084,0.7983780152908911,55,91,0,0,0,42
no_quality,wt,0.8688526606258428,0.8635709794071847,55,91,0,0,0,42
no_variance,et,0.7872659114394159,0.776524973413645,53,89,2,0,2,42
no_variance,tc,0.7966945261657861,0.7843645325136269,55,91,0,0,0,42
no_variance,wt,0.8681166955090689,0.8621150546005973,55,91,0,0,0,42
no_max,et,0.7814178673374143,0.7732004695016378,53,89,2,0,2,42
no_max,tc,0.7930172378657528,0.7828196330804594,55,91,0,0,0,42
no_max,wt,0.8695238190434236,0.8618544268215153,55,91,0,0,0,42
no_consistency,et,0.7808683722154814,0.7721275600659018,53,89,2,0,2,42
no_consistency,tc,0.7889717379973975,0.7736802424256306,55,91,0,0,0,42
no_consistency,wt,0.8651556876030032,0.8607459579776713,55,91,0,0,0,42
shuffled_quality,et,0.7822101030167077,0.7733455048056174,53,89,2,0,2,42
shuffled_quality,tc,0.7935806196639322,0.7797363324457824,55,91,0,0,0,42
shuffled_quality,wt,0.866826302116292,0.8624384343305169,55,91,0,0,0,42
matched_moment_fusion,et,0.7939260227682048,0.7857136611785361,53,89,2,0,2,42
matched_moment_fusion,tc,0.8065657326640167,0.7950523741939552,55,91,0,0,0,42
matched_moment_fusion,wt,0.8680257100349803,0.8607153452452645,55,91,0,0,0,42
qmmf,et,0.7817357064992488,0.7685211032276577,53,89,2,0,2,43
qmmf,tc,0.8008092271723922,0.7907391853599842,55,91,0,0,0,43
qmmf,wt,0.8736463969169973,0.8680299313322823,55,91,0,0,0,43
hemis,et,0.6565882481916396,0.6547341253802387,53,89,2,0,2,43
hemis,tc,0.6969702341918261,0.6928503521007954,55,91,0,0,0,43
hemis,wt,0.8063355454408252,0.8030847957729312,55,91,0,0,0,43
unet25d,et,0.7901771963074185,0.7808720183773531,53,89,2,0,2,43
unet25d,tc,0.7836481707293271,0.772182601928877,55,91,0,0,0,43
unet25d,wt,0.8551494912211034,0.8457796708749196,55,91,0,0,0,43
no_quality,et,0.7917611164375784,0.7826629636702557,53,89,2,0,2,43
no_quality,tc,0.7958239026198526,0.7858775717783836,55,91,0,0,0,43
no_quality,wt,0.8712858769006911,0.8651434417838483,55,91,0,0,0,43
no_variance,et,0.7866222129482142,0.7794849659897521,53,89,2,0,2,43
no_variance,tc,0.7999316254984077,0.7883230424786993,55,91,0,0,0,43
no_variance,wt,0.8692802774640691,0.862475359425135,55,91,0,0,0,43
no_max,et,0.7880863577568878,0.7752215234993555,53,89,2,0,2,43
no_max,tc,0.7893556110407113,0.7807209786592815,55,91,0,0,0,43
no_max,wt,0.8701026704018289,0.8650763948184016,55,91,0,0,0,43
no_consistency,et,0.7807118091247433,0.7688373019250211,53,89,2,0,2,43
no_consistency,tc,0.8001983194762936,0.790564589129279,55,91,0,0,0,43
no_consistency,wt,0.871873775614246,0.8662639874631841,55,91,0,0,0,43
shuffled_quality,et,0.7767407537783068,0.7645715083207966,53,89,2,0,2,43
shuffled_quality,tc,0.8031395633789594,0.7930082987525553,55,91,0,0,0,43
shuffled_quality,wt,0.8680492430085619,0.8626508698479487,55,91,0,0,0,43
matched_moment_fusion,et,0.7837808033277339,0.7736277039341363,53,89,2,0,2,43
matched_moment_fusion,tc,0.8056306991545997,0.796931310408724,55,91,0,0,0,43
matched_moment_fusion,wt,0.8718174175991142,0.8648438837923783,55,91,0,0,0,43
qmmf,et,0.7853297963372498,0.775482746446087,53,89,2,0,2,44
qmmf,tc,0.7962995321917996,0.7849270821459231,55,91,0,0,0,44
qmmf,wt,0.8698115484381552,0.864959693438793,55,91,0,0,0,44
hemis,et,0.6435351023890991,0.6432345332359268,53,89,2,0,2,44
hemis,tc,0.6826644010047864,0.6772981353537911,55,91,0,0,0,44
hemis,wt,0.8013902900595373,0.7991331169564323,55,91,0,0,0,44
unet25d,et,0.7664521307966605,0.7582774146487975,53,89,2,0,2,44
unet25d,tc,0.7782587758370205,0.7644684159537034,55,91,0,0,0,44
unet25d,wt,0.8541270269206395,0.8433899371020909,55,91,0,0,0,44
no_quality,et,0.7869731787096667,0.7734269490441106,53,89,2,0,2,44
no_quality,tc,0.8034701698812634,0.7894498808505067,55,91,0,0,0,44
no_quality,wt,0.8702538424728283,0.862370191164995,55,91,0,0,0,44
no_variance,et,0.7876903848493736,0.7759518944608702,53,89,2,0,2,44
no_variance,tc,0.7966233148203575,0.7862702007849839,55,91,0,0,0,44
no_variance,wt,0.8691244989165597,0.865374254151087,55,91,0,0,0,44
no_max,et,0.7866623869913091,0.777273701117545,53,89,2,0,2,44
no_max,tc,0.800808192251121,0.79338452968043,55,91,0,0,0,44
no_max,wt,0.8678049815211389,0.8642534695509737,55,91,0,0,0,44
no_consistency,et,0.785148531055517,0.776219001527899,53,89,2,0,2,44
no_consistency,tc,0.7960576408367201,0.7851256464445009,55,91,0,0,0,44
no_consistency,wt,0.8703574899531044,0.865519398535515,55,91,0,0,0,44
