model,region,mean_group_dice_nonempty_reference,seed_sd,n_training_seeds,n_nonempty_reference,n_empty_reference,n_groups_with_nonempty_reference
qmmf,wt,0.863893215297865,0.004760410948690722,3,91,0,55
qmmf,tc,0.7839539615635455,0.007320455352500884,3,91,0,55
qmmf,et,0.7741274015989229,0.005066465579990354,3,89,2,53
hemis,wt,0.8025854154966243,0.0032316769752066235,3,91,0,55
hemis,tc,0.6835028208408863,0.008238687462224835,3,91,0,55
hemis,et,0.6428754058127578,0.0120423001825473,3,89,2,53
unet25d,wt,0.8396920779224377,0.008558271551486295,3,91,0,55
unet25d,tc,0.7622901870728139,0.011142373915966518,3,91,0,55
unet25d,et,0.7658724275153088,0.012990375702094393,3,89,2,53
no_quality,wt,0.8636948707853427,0.0013907701297946004,3,91,0,55
no_quality,tc,0.7912351559732604,0.006438608347328692,3,91,0,55
no_quality,et,0.7823831717541413,0.008819655890952164,3,89,2,53
no_variance,wt,0.8633215560589398,0.0017867937723125761,3,91,0,55
no_variance,tc,0.7863192585924367,0.0019797109100190492,3,91,0,55
no_variance,et,0.7773206112880892,0.0018961614718916977,3,89,2,53
no_max,wt,0.8637280970636302,0.0016740016819236142,3,91,0,55
no_max,tc,0.7856417138067237,0.006787082277051921,3,91,0,55
no_max,et,0.7752318980395128,0.002036635625859263,3,89,2,53
no_consistency,wt,0.8641764479921235,0.00299412749766003,3,91,0,55
no_consistency,tc,0.7831234926664701,0.00861839635404478,3,91,0,55
no_consistency,et,0.7723946211729406,0.0036980891664414573,3,89,2,53
shuffled_quality,wt,0.861202480855669,0.002327134090009802,3,91,0,55
shuffled_quality,tc,0.7833322471682309,0.008471264404230608,3,91,0,55
shuffled_quality,et,0.7735646934336952,0.009104758428233361,3,89,2,53
matched_moment_fusion,wt,0.8643774138268573,0.0034525491336158238,3,91,0,55
matched_moment_fusion,tc,0.7946147432696943,0.0025635533061882975,3,91,0,55
matched_moment_fusion,et,0.7744891986214099,0.010819469392353172,3,89,2,53
