model,seed,metric,value,n_groups
hemis,42,outer_macro_dice,0.7042339852034634,55
matched_moment_fusion,42,outer_macro_dice,0.8125440004965008,55
no_consistency,42,outer_macro_dice,0.7999287479257297,55
no_max,42,outer_macro_dice,0.8042821115475348,55
no_quality,42,outer_macro_dice,0.8153146598504711,55
no_variance,42,outer_macro_dice,0.8061482851033789,55
qmmf,42,outer_macro_dice,0.8020644120939303,55
shuffled_quality,42,outer_macro_dice,0.8037576215249475,55
unet25d,42,outer_macro_dice,0.7759985883712738,55
hemis,43,outer_macro_dice,0.7140561379424143,55
matched_moment_fusion,43,outer_macro_dice,0.8104789461416886,55
no_consistency,43,outer_macro_dice,0.8066879416837299,55
no_max,43,outer_macro_dice,0.8051711291427236,55
no_quality,43,outer_macro_dice,0.8094929751994717,55
no_variance,43,outer_macro_dice,0.8082529248213706,55
qmmf,43,outer_macro_dice,0.8072069515045457,55
shuffled_quality,43,outer_macro_dice,0.8052899288139882,55
unet25d,43,outer_macro_dice,0.7970498367930607,55
hemis,44,outer_macro_dice,0.7032851745252239,55
matched_moment_fusion,44,outer_macro_dice,0.8062468395046009,55
no_consistency,44,outer_macro_dice,0.8064312967141106,55
no_max,44,outer_macro_dice,0.8103025621384645,55
no_quality,44,outer_macro_dice,0.8070471999415566,55
no_variance,44,outer_macro_dice,0.8075280999656618,55
qmmf,44,outer_macro_dice,0.8063663311861036,55
shuffled_quality,44,outer_macro_dice,0.8041618150560147,55
unet25d,44,outer_macro_dice,0.7864360129949144,55
hemis,42,mean_subset_macro_dice,0.544685083462949,16
matched_moment_fusion,42,mean_subset_macro_dice,0.6562380859191688,16
no_consistency,42,mean_subset_macro_dice,0.6423069410038661,16
no_max,42,mean_subset_macro_dice,0.6473972865295778,16
no_quality,42,mean_subset_macro_dice,0.6594289732113932,16
no_variance,42,mean_subset_macro_dice,0.6436810439922782,16
qmmf,42,mean_subset_macro_dice,0.6457954670912914,16
shuffled_quality,42,mean_subset_macro_dice,0.6411062006364401,16
unet25d,42,mean_subset_macro_dice,0.6008130223120958,16
hemis,43,mean_subset_macro_dice,0.5390147497254448,16
matched_moment_fusion,43,mean_subset_macro_dice,0.6559777687946977,16
no_consistency,43,mean_subset_macro_dice,0.6401206276756287,16
no_max,43,mean_subset_macro_dice,0.6493178775799047,16
no_quality,43,mean_subset_macro_dice,0.6457318654071549,16
no_variance,43,mean_subset_macro_dice,0.6533681151836636,16
qmmf,43,mean_subset_macro_dice,0.6456467184105921,16
shuffled_quality,43,mean_subset_macro_dice,0.6523831313072915,16
unet25d,43,mean_subset_macro_dice,0.6193598372307374,16
hemis,44,mean_subset_macro_dice,0.5371746444800676,16
matched_moment_fusion,44,mean_subset_macro_dice,0.6522002266315228,16
no_consistency,44,mean_subset_macro_dice,0.6499811361015001,16
no_max,44,mean_subset_macro_dice,0.661652915264313,16
no_quality,44,mean_subset_macro_dice,0.6600807235895361,16
no_variance,44,mean_subset_macro_dice,0.6566767598307391,16
qmmf,44,mean_subset_macro_dice,0.6560086480893983,16
shuffled_quality,44,mean_subset_macro_dice,0.6430744022454814,16
unet25d,44,mean_subset_macro_dice,0.6120127537679796,16
hemis,42,worst_subset_macro_dice,0.26215737696322505,16
matched_moment_fusion,42,worst_subset_macro_dice,0.3502020631455296,16
no_consistency,42,worst_subset_macro_dice,0.34589108009304903,16
no_max,42,worst_subset_macro_dice,0.3472453872096115,16
no_quality,42,worst_subset_macro_dice,0.36263747930782975,16
no_variance,42,worst_subset_macro_dice,0.34141495751956497,16
qmmf,42,worst_subset_macro_dice,0.3330377809271992,16
shuffled_quality,42,worst_subset_macro_dice,0.3317346583027068,16
unet25d,42,worst_subset_macro_dice,0.2868084848241611,16
hemis,43,worst_subset_macro_dice,0.2156596522904344,16
matched_moment_fusion,43,worst_subset_macro_dice,0.3709297126142229,16
no_consistency,43,worst_subset_macro_dice,0.3301612296412273,16
no_max,43,worst_subset_macro_dice,0.3270931927908116,16
no_quality,43,worst_subset_macro_dice,0.33115279523035723,16
no_variance,43,worst_subset_macro_dice,0.34798490273885063,16
qmmf,43,worst_subset_macro_dice,0.3273289957843228,16
shuffled_quality,43,worst_subset_macro_dice,0.35272185630168446,16
unet25d,43,worst_subset_macro_dice,0.2741590646589352,16
hemis,44,worst_subset_macro_dice,0.22365229010110027,16
matched_moment_fusion,44,worst_subset_macro_dice,0.35617111292154396,16
no_consistency,44,worst_subset_macro_dice,0.3421279767478366,16
no_max,44,worst_subset_macro_dice,0.3527110692397061,16
no_quality,44,worst_subset_macro_dice,0.3672859975712276,16
no_variance,44,worst_subset_macro_dice,0.34933997446205034,16
qmmf,44,worst_subset_macro_dice,0.36166272130843596,16
shuffled_quality,44,worst_subset_macro_dice,0.2893466771058843,16
unet25d,44,worst_subset_macro_dice,0.3125433606253907,16
