model,seed,fold,best_epoch,completed,config_hash,fit_and_validation_seconds,inner_selection_score,locked_test_opened,name,outer_case_macro_dice,outer_evaluation_seconds,outer_macro_dice,outer_n_cases,outer_n_groups,parameters,peak_gpu_gb,phase,robustness_macro_dice,robustness_n_cases,scope,subset_evaluation_seconds,wall_seconds,epochs_run,validation_checks,selected_epoch_one_based,termination_reason,best_at_last_validation,last_selection_score,last_minus_best_selection_score,last_three_validation_gain,trailing_nonimproving_validation_checks,scheduled_optimizer_step_opportunities,central_training_windows_seen,convergence_interpretation
qmmf,42,0,79,True,b7170daf998ad759,4183.133015164,0.6928539444847774,False,qmmf,0.8121615210363011,251.34471692399984,0.80206441209393,91,55,1221465,1.3471002578735352,study,0.6457954670912915,16,development_fold0,670.7600011699997,5105.237733954001,120,12,80,epoch_budget_reached,False,0.680571363007453,-0.012282581477324417,0.013635390446740114,4,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim
hemis,42,0,109,True,2dc2ade8cf028971,3940.5469497210006,0.5662742441334014,False,hemis,0.7054065609645249,231.9255103309997,0.7042339852034635,91,55,881395,0.7460660934448242,study,0.544685083462949,16,development_fold0,540.0210009439998,4712.493461666,120,12,110,epoch_budget_reached,False,0.5657946571435597,-0.0004795869898417404,0.0013738460319367984,1,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim
unet25d,42,0,119,True,07b7569199bbdbbd,3778.152840494,0.6389286772544871,False,unet25d,0.790465282207669,202.717951351,0.7759985883712738,91,55,884299,0.42070960998535156,study,0.6008130223120958,16,development_fold0,541.1810362079996,4522.051829422,120,12,120,epoch_budget_reached,True,0.6389286772544871,0.0,0.0031770634286359956,0,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim
no_quality,42,0,109,True,4b91954fd0d19d55,4142.368304675,0.6844564011141792,False,no_quality,0.8232500007390364,266.05080433200055,0.8153146598504711,91,55,1220569,1.3470778465270996,study,0.6594289732113932,16,development_fold0,694.2748017469985,5102.693911338,120,12,110,epoch_budget_reached,False,0.6833566171347383,-0.0010997839794408826,0.009332578908960443,1,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim
no_variance,42,0,79,True,00bc012d994982ad,4093.407799759001,0.6865147808177412,False,no_variance,0.8163617342504463,254.64171921999878,0.8061482851033789,91,55,1183769,1.0879497528076172,study,0.6436810439922781,16,development_fold0,657.0647673830008,5005.114287228002,120,12,80,epoch_budget_reached,False,0.6818394661316631,-0.004675314686078069,0.00920898682845428,4,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim
no_max,42,0,79,True,dcf1e4858f16c341,4125.047033155999,0.67980568637015,False,no_max,0.8135797677615851,250.73557679900114,0.8042821115475347,91,55,1183769,1.2834415435791016,study,0.6473972865295778,16,development_fold0,661.6817188409987,5037.464329741,120,12,80,epoch_budget_reached,False,0.6787906118233039,-0.0010150745468461286,0.020349764479571264,4,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim
no_consistency,42,0,79,True,4e96adc64e482cc7,4155.907026007,0.6850100204341416,False,no_consistency,0.8102378115710084,271.00834132199816,0.7999287479257297,91,55,1221465,1.3316020965576172,study,0.6423069410038662,16,development_fold0,694.877375385,5121.792743512,120,12,80,epoch_budget_reached,False,0.6775752380369083,-0.007434782397233275,0.009216235205843248,4,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim
shuffled_quality,42,0,79,True,9016960ba082a6df,4169.090268730999,0.6849365481722377,False,shuffled_quality,0.8132850281124895,261.06397162800204,0.8037576215249475,91,55,1221465,1.3471002578735352,study,0.6411062006364401,16,development_fold0,690.6468344999994,5120.801076058999,120,12,80,epoch_budget_reached,False,0.6809187121169995,-0.0040178360552382,0.01257084193938851,4,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim
matched_moment_fusion,42,0,109,True,22e2134ab529495d,3568.0416883630023,0.6851633548258589,False,matched_moment_fusion,0.8220034753929746,230.23407919099918,0.8125440004965008,91,55,1227977,1.18800687789917,study,0.6562380859191688,16,development_fold0,607.0433621499978,4405.319130454001,120,12,110,epoch_budget_reached,False,0.6839925605357501,-0.0011707942901088009,0.011290587821744524,1,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim
qmmf,43,0,89,True,cb29d3e9b9f63fe2,4202.14910621,0.6921119342294436,False,qmmf,0.8174914534054107,252.96076808199996,0.8072069515045457,91,55,1221465,1.3471002578735352,study,0.6456467184105921,16,development_fold0,682.3212998070003,5137.431174687,120,12,90,epoch_budget_reached,False,0.6854125513334032,-0.00669938289604044,0.028330579560616687,3,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim
hemis,43,0,79,True,ff43e19d147d9e9b,3926.3644191799995,0.59099826783767,False,hemis,0.7182384652670988,225.5616108260001,0.7140561379424143,91,55,881395,0.7460660934448242,study,0.5390147497254447,16,development_fold0,529.1567774770001,4681.082808296,120,12,80,epoch_budget_reached,False,0.5726549062995664,-0.018343361538103564,0.019711812970061637,4,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim
