case_id,region,dice,hd95,nsd,volume_pred_ml,volume_ref_ml,volume_error_ml,relative_volume_error,reference_empty,prediction_empty,lesion_recall,lesion_precision,lesion_f1,model,seed
BRATS_010,wt,0.8355751594025679,,,25.309,20.487,4.821999999999999,0.235368770439791,False,False,,,,qmmf,43
BRATS_010,tc,0.8384948384948385,,,4.129,4.88,-0.7509999999999994,-0.1538934426229507,False,False,,,,qmmf,43
BRATS_010,et,0.7692113882590073,,,3.471,4.4670000000000005,-0.9960000000000004,-0.2229684351914037,False,False,,,,qmmf,43
BRATS_020,wt,0.9311562683846576,,,261.56600000000003,256.869,4.697000000000003,0.0182855852594123,False,False,,,,qmmf,43
BRATS_020,tc,0.7962950990660167,,,116.081,115.936,0.144999999999996,0.0012506900358818,False,False,,,,qmmf,43
BRATS_020,et,0.7095885160477828,,,42.444,67.135,-24.691000000000003,-0.3677813361138005,False,False,,,,qmmf,43
BRATS_023,wt,0.8886510552677769,,,76.047,64.107,11.939999999999998,0.1862511114230894,False,False,,,,qmmf,43
BRATS_023,tc,0.3273062730627306,,,21.578,5.522,16.055999999999997,2.9076421586381738,False,False,,,,qmmf,43
BRATS_023,et,0.0,,,0.235,0.0,0.235,,True,False,,,,qmmf,43
BRATS_027,wt,0.9370634629666188,,,53.103,53.274,-0.1709999999999993,-0.0032098209257799,False,False,,,,qmmf,43
BRATS_027,tc,0.7311294290276639,,,17.606,28.736,-11.13,-0.3873190423162583,False,False,,,,qmmf,43
BRATS_027,et,0.0,,,0.219,0.0,0.219,,True,False,,,,qmmf,43
BRATS_034,wt,0.9573221162391136,,,205.835,216.14,-10.305000000000009,-0.0476774312945313,False,False,,,,qmmf,43
BRATS_034,tc,0.7764628300403277,,,86.385,110.75,-24.364999999999995,-0.2199999999999999,False,False,,,,qmmf,43
BRATS_034,et,0.1765988372093023,,,1.93,0.8220000000000001,1.108,1.3479318734793184,False,False,,,,qmmf,43
BRATS_035,wt,0.8792646680660459,,,83.42,83.797,-0.3769999999999953,-0.0044989677434752,False,False,,,,qmmf,43
BRATS_035,tc,0.8746795355150053,,,15.227,17.928,-2.7010000000000005,-0.1506581883087907,False,False,,,,qmmf,43
BRATS_035,et,0.8423839784325053,,,9.942,10.83,-0.8879999999999999,-0.081994459833795,False,False,,,,qmmf,43
BRATS_045,wt,0.9586816388203452,,,92.251,91.735,0.5160000000000053,0.0056248978034556,False,False,,,,qmmf,43
BRATS_045,tc,0.8482480860173438,,,36.895,45.786,-8.890999999999998,-0.1941859957192154,False,False,,,,qmmf,43
BRATS_045,et,0.9118993993993992,,,26.543,26.737,-0.1940000000000026,-0.0072558626622284,False,False,,,,qmmf,43
BRATS_048,wt,0.9408929320858124,,,161.226,162.83,-1.6040000000000134,-0.0098507646011178,False,False,,,,qmmf,43
BRATS_048,tc,0.9337521493656832,,,35.727000000000004,38.132,-2.404999999999994,-0.063070387076471,False,False,,,,qmmf,43
BRATS_048,et,0.8942760942760942,,,27.296,32.104,-4.808,-0.1497632693745327,False,False,,,,qmmf,43
BRATS_051,wt,0.9453658353857824,,,102.488,111.078,-8.590000000000003,-0.0773330452474837,False,False,,,,qmmf,43
BRATS_051,tc,0.8589431992078495,,,39.253,38.51,0.7430000000000021,0.0192936899506622,False,False,,,,qmmf,43
BRATS_051,et,0.8891492584231132,,,15.973,19.02,-3.046999999999999,-0.1601997896950577,False,False,,,,qmmf,43
BRATS_059,wt,0.929216196817846,,,91.308,99.569,-8.260999999999996,-0.0829675903142544,False,False,,,,qmmf,43
BRATS_059,tc,0.8216289581793284,,,34.081,48.438,-14.357,-0.2963995210372022,False,False,,,,qmmf,43
BRATS_059,et,0.8885278100169628,,,25.384,30.621,-5.237000000000002,-0.1710264197772771,False,False,,,,qmmf,43
BRATS_062,wt,0.6357696577879524,,,44.545,57.234,-12.689,-0.2217038823077191,False,False,,,,qmmf,43
BRATS_062,tc,0.7783673830370567,,,10.638,11.976,-1.338000000000001,-0.1117234468937876,False,False,,,,qmmf,43
BRATS_062,et,0.7731217918805413,,,6.197,4.518,1.6790000000000005,0.3716246126604693,False,False,,,,qmmf,43
BRATS_066,wt,0.8510573046022665,,,204.196,193.608,10.587999999999994,0.0546878228172389,False,False,,,,qmmf,43
BRATS_066,tc,0.604433685397357,,,19.928,40.383,-20.455,-0.5065250229056781,False,False,,,,qmmf,43
BRATS_066,et,0.7023646489546242,,,10.31,11.596,-1.2859999999999996,-0.1109003104518799,False,False,,,,qmmf,43
BRATS_076,wt,0.9559251653088398,,,197.814,200.985,-3.1710000000000207,-0.0157772968131951,False,False,,,,qmmf,43
BRATS_076,tc,0.8397110552763819,,,75.71300000000001,83.487,-7.773999999999987,-0.093116293554685,False,False,,,,qmmf,43
BRATS_076,et,0.3930131004366812,,,2.645,1.248,1.397,1.1193910256410255,False,False,,,,qmmf,43
BRATS_080,wt,0.9152577775099916,,,124.949,124.006,0.9429999999999978,0.0076044707514152,False,False,,,,qmmf,43
BRATS_080,tc,0.7507076884930884,,,89.202,55.989,33.212999999999994,0.5932058082837699,False,False,,,,qmmf,43
BRATS_080,et,0.7969056268457779,,,17.559,20.704,-3.145,-0.1519030139103554,False,False,,,,qmmf,43
BRATS_092,wt,0.8904302755440375,,,125.962,110.189,15.772999999999996,0.1431449600232327,False,False,,,,qmmf,43
BRATS_092,tc,0.7313679895952391,,,79.874,72.364,7.509999999999991,0.1037808855231881,False,False,,,,qmmf,43
BRATS_092,et,0.0576271186440678,,,0.856,0.324,0.532,1.6419753086419753,False,False,,,,qmmf,43
BRATS_096,wt,0.7196294449080772,,,126.252,76.255,49.997000000000014,0.6556553668611896,False,False,,,,qmmf,43
BRATS_096,tc,0.7870193451353239,,,72.65,57.667,14.983000000000004,0.2598193074028474,False,False,,,,qmmf,43
BRATS_096,et,0.8205439936338819,,,41.508,48.971,-7.463000000000001,-0.1523963161871311,False,False,,,,qmmf,43
BRATS_097,wt,0.9468069240166912,,,161.96,153.175,8.784999999999997,0.0573527011588052,False,False,,,,qmmf,43
BRATS_097,tc,0.8737376591296205,,,62.389,61.488,0.9010000000000034,0.0146532656778558,False,False,,,,qmmf,43
BRATS_097,et,0.8690165303498283,,,33.645,41.792,-8.146999999999998,-0.1949416156202143,False,False,,,,qmmf,43
BRATS_116,wt,0.9418764182686038,,,189.611,193.779,-4.168000000000006,-0.0215090386471186,False,False,,,,qmmf,43
BRATS_116,tc,0.8077620683828085,,,89.95400000000001,87.57600000000001,2.378,0.0271535580524344,False,False,,,,qmmf,43
BRATS_116,et,0.2461638916095331,,,2.435,0.628,1.807,2.877388535031847,False,False,,,,qmmf,43
BRATS_119,wt,0.858190104396672,,,107.965,118.479,-10.513999999999996,-0.0887414647321465,False,False,,,,qmmf,43
BRATS_119,tc,0.6980008412849521,,,19.895,25.274,-5.379000000000001,-0.2128274115692016,False,False,,,,qmmf,43
BRATS_119,et,0.5629727789741041,,,11.943,6.168,5.775,0.9362840466926068,False,False,,,,qmmf,43
BRATS_135,wt,0.8945069397148964,,,169.23,171.418,-2.1880000000000166,-0.0127641204540947,False,False,,,,qmmf,43
BRATS_135,tc,0.663232339467974,,,73.903,50.527,23.376000000000005,0.4626437350327548,False,False,,,,qmmf,43
BRATS_135,et,0.5720482580994984,,,3.993,3.384,0.609,0.1799645390070922,False,False,,,,qmmf,43
BRATS_143,wt,0.9528794890292612,,,110.834,116.498,-5.6640000000000015,-0.0486188604096207,False,False,,,,qmmf,43
BRATS_143,tc,0.9191087460909916,,,76.074,82.534,-6.460000000000008,-0.078270773257082,False,False,,,,qmmf,43
BRATS_143,et,0.3503474718427989,,,2.743,1.43,1.313,0.9181818181818182,False,False,,,,qmmf,43
BRATS_144,wt,0.9035762698349414,,,49.032,51.296,-2.263999999999996,-0.0441359950093573,False,False,,,,qmmf,43
BRATS_144,tc,0.6935633606684203,,,10.148,15.704,-5.556000000000001,-0.3537952114111055,False,False,,,,qmmf,43
BRATS_144,et,0.6355124835742444,,,7.523000000000001,4.6530000000000005,2.87,0.6168063614872125,False,False,,,,qmmf,43
BRATS_160,wt,0.6455460077673466,,,12.57,20.131,-7.561,-0.3755898862450946,False,False,,,,qmmf,43
BRATS_160,tc,0.7449559748427673,,,7.927,11.948,-4.021,-0.3365416806160026,False,False,,,,qmmf,43
BRATS_160,et,0.8273143438453713,,,7.164000000000001,8.564,-1.3999999999999997,-0.1634750116767865,False,False,,,,qmmf,43
BRATS_163,wt,0.9451401543054316,,,76.405,78.35300000000001,-1.9480000000000075,-0.0248618431968145,False,False,,,,qmmf,43
BRATS_163,tc,0.900398406374502,,,57.468,55.231,2.237000000000002,0.0405026162843331,False,False,,,,qmmf,43
BRATS_163,et,0.6,,,3.309,1.931,1.378,0.7136198860693941,False,False,,,,qmmf,43
BRATS_170,wt,0.9281077540644476,,,149.249,159.157,-9.908000000000015,-0.062252995469882,False,False,,,,qmmf,43
BRATS_170,tc,0.6326322006178449,,,56.668,31.38,25.288,0.8058636073932441,False,False,,,,qmmf,43
BRATS_170,et,0.0136810602821718,,,2.316,0.023,2.293,99.69565217391305,False,False,,,,qmmf,43
BRATS_190,wt,0.9122822430844922,,,74.526,84.82600000000001,-10.300000000000011,-0.1214250347770731,False,False,,,,qmmf,43
BRATS_190,tc,0.867939268367243,,,27.017,31.865,-4.8480000000000025,-0.1521418484230347,False,False,,,,qmmf,43
BRATS_190,et,0.7290129854294946,,,12.851,19.955,-7.104000000000001,-0.3560010022550739,False,False,,,,qmmf,43
BRATS_194,wt,0.8842813415966341,,,93.782,91.132,2.6499999999999915,0.0290786990299783,False,False,,,,qmmf,43
BRATS_194,tc,0.4935803440506419,,,38.997,16.925,22.072,1.30410635155096,False,False,,,,qmmf,43
BRATS_194,et,0.5386138613861386,,,1.719,0.806,0.913,1.1327543424317617,False,False,,,,qmmf,43
BRATS_197,wt,0.77824484128884,,,95.583,113.287,-17.704000000000008,-0.1562756538702588,False,False,,,,qmmf,43
BRATS_197,tc,0.5292728066083868,,,23.368,43.093,-19.725,-0.4577309539832455,False,False,,,,qmmf,43
BRATS_197,et,0.5605286872934815,,,5.829,4.158,1.6709999999999994,0.4018759018759016,False,False,,,,qmmf,43
BRATS_227,wt,0.8752374252550124,,,116.602,110.838,5.763999999999996,0.0520038254028401,False,False,,,,qmmf,43
BRATS_227,tc,0.6193759408277426,,,22.472,31.337,-8.864999999999998,-0.2828924274818903,False,False,,,,qmmf,43
BRATS_227,et,0.6155397230810593,,,8.294,6.5840000000000005,1.71,0.2597205346294046,False,False,,,,qmmf,43
BRATS_228,wt,0.8903701239717001,,,117.401,117.088,0.3129999999999882,0.0026732030609455,False,False,,,,qmmf,43
BRATS_228,tc,0.7671517671517671,,,23.182,31.652,-8.469999999999999,-0.26759762416277,False,False,,,,qmmf,43
BRATS_228,et,0.8891336068056053,,,17.909,18.414,-0.5050000000000026,-0.0274247854893017,False,False,,,,qmmf,43
BRATS_234,wt,0.9627295721450037,,,102.788,103.193,-0.4050000000000011,-0.0039246848138924,False,False,,,,qmmf,43
BRATS_234,tc,0.9461498708010336,,,38.568,38.832,-0.2640000000000029,-0.0067985166872683,False,False,,,,qmmf,43
BRATS_234,et,0.9200831422018348,,,26.872,28.936,-2.064,-0.0713298313519491,False,False,,,,qmmf,43
BRATS_259,wt,0.9218330093478212,,,66.618,62.503,4.114999999999995,0.0658368398316879,False,False,,,,qmmf,43
BRATS_259,tc,0.2791900311526479,,,27.35,4.75,22.6,4.757894736842106,False,False,,,,qmmf,43
BRATS_259,et,0.0,,,0.374,0.014,0.36,25.71428571428571,False,False,,,,qmmf,43
BRATS_266,wt,0.9513223953856312,,,198.426,202.929,-4.502999999999986,-0.022190027053797,False,False,,,,qmmf,43
