model,seed,case_id,group_id,subset,macro_dice
qmmf,43,BRATS_160,sg_01ac2338604cf8bc,flair,0.6279880916244268
qmmf,43,BRATS_160,sg_01ac2338604cf8bc,t1,0.182404919514665
qmmf,43,BRATS_160,sg_01ac2338604cf8bc,t1+flair,0.5411413569456044
qmmf,43,BRATS_160,sg_01ac2338604cf8bc,t1+t1ce,0.6589900622014057
qmmf,43,BRATS_160,sg_01ac2338604cf8bc,t1+t1ce+flair,0.7025366525568842
qmmf,43,BRATS_160,sg_01ac2338604cf8bc,t1+t1ce+t2,0.7203306826090293
qmmf,43,BRATS_160,sg_01ac2338604cf8bc,t1+t1ce+t2+flair,0.7392721088184951
qmmf,43,BRATS_160,sg_01ac2338604cf8bc,t1+t2,0.4382958499885006
qmmf,43,BRATS_160,sg_01ac2338604cf8bc,t1+t2+flair,0.5687951274490687
qmmf,43,BRATS_160,sg_01ac2338604cf8bc,t1ce,0.6513381063378006
qmmf,43,BRATS_160,sg_01ac2338604cf8bc,t1ce+flair,0.7090083741325249
qmmf,43,BRATS_160,sg_01ac2338604cf8bc,t1ce+t2,0.6905844696185152
qmmf,43,BRATS_160,sg_01ac2338604cf8bc,t1ce+t2+flair,0.7434430540428562
qmmf,43,BRATS_160,sg_01ac2338604cf8bc,t2,0.18022891908654484
qmmf,43,BRATS_160,sg_01ac2338604cf8bc,t2+flair,0.6502875843964986
qmmf,43,BRATS_403,sg_09e69c148337e6f2,flair,0.604750961853034
qmmf,43,BRATS_403,sg_09e69c148337e6f2,t1,0.48634078047709095
qmmf,43,BRATS_403,sg_09e69c148337e6f2,t1+flair,0.6159551200243657
qmmf,43,BRATS_403,sg_09e69c148337e6f2,t1+t1ce,0.7164414119256409
qmmf,43,BRATS_403,sg_09e69c148337e6f2,t1+t1ce+flair,0.809026711484957
qmmf,43,BRATS_403,sg_09e69c148337e6f2,t1+t1ce+t2,0.795567832440946
qmmf,43,BRATS_403,sg_09e69c148337e6f2,t1+t1ce+t2+flair,0.8147461275163358
qmmf,43,BRATS_403,sg_09e69c148337e6f2,t1+t2,0.6043242083531571
qmmf,43,BRATS_403,sg_09e69c148337e6f2,t1+t2+flair,0.6467742856621221
qmmf,43,BRATS_403,sg_09e69c148337e6f2,t1ce,0.69326700176091
qmmf,43,BRATS_403,sg_09e69c148337e6f2,t1ce+flair,0.8087056540085812
qmmf,43,BRATS_403,sg_09e69c148337e6f2,t1ce+t2,0.7965873256707564
qmmf,43,BRATS_403,sg_09e69c148337e6f2,t1ce+t2+flair,0.8141223866935795
qmmf,43,BRATS_403,sg_09e69c148337e6f2,t2,0.5733332322656038
qmmf,43,BRATS_403,sg_09e69c148337e6f2,t2+flair,0.6507195983341703
qmmf,43,BRATS_302,sg_155b562e5b5b19e2,flair,0.22119026758395074
qmmf,43,BRATS_302,sg_155b562e5b5b19e2,t1,0.20358643096134932
qmmf,43,BRATS_302,sg_155b562e5b5b19e2,t1+flair,0.2493344757787157
