model,metric,mean,seed_sd,ci_low,ci_high,n_groups,n_training_seeds
hemis,full_group_macro_dice,0.6836786078318512,0.0006805344385244983,0.6473827113904876,0.7180268935808101,51,3
no_quality,full_group_macro_dice,0.7769175757935253,0.0006773627621955785,0.7425499624591037,0.8085158490970009,51,3
qmmf,full_group_macro_dice,0.7689410515687559,0.005543902718558653,0.7346148269181999,0.800896708303126,51,3
unet25d,full_group_macro_dice,0.7621439392075557,0.007359412638101168,0.7271511643945319,0.7948594371811499,51,3
hemis,mean_subset_macro_dice,0.5461823211952398,0.007961666732198523,0.5126802706281406,0.5785182273855602,51,3
no_quality,mean_subset_macro_dice,0.6405379574609206,0.007463740040677234,0.6081177666834218,0.6712456567613879,51,3
qmmf,mean_subset_macro_dice,0.6322345017906242,0.007983273645932265,0.6003029866853192,0.662984957706577,51,3
unet25d,mean_subset_macro_dice,0.6033653634982205,0.007789426890141211,0.5692255388493079,0.6362857254357048,51,3
hemis,worst_subset_macro_dice,0.2748147084888892,0.028556581442170527,0.23742047641058087,0.31184396176853735,51,3
no_quality,worst_subset_macro_dice,0.38860754804077624,0.013669403262092884,0.3471777944961047,0.42841013935286587,51,3
qmmf,worst_subset_macro_dice,0.36715917614299687,0.011971372843635395,0.32587227370512717,0.4066185503796304,51,3
unet25d,worst_subset_macro_dice,0.31400756339280417,0.011478953267834666,0.2705959852937375,0.3555940453198337,51,3
