model,seed,modality,mean_contribution,n_groups
qmmf,42,t1,0.10787315834489668,51
qmmf,42,t1ce,0.2942882895799173,51
qmmf,42,t2,0.16817181975508155,51
qmmf,42,flair,0.19377348587545837,51
qmmf,43,t1,0.10638907320766645,51
qmmf,43,t1ce,0.2900449676467054,51
qmmf,43,t2,0.17310255228946292,51
qmmf,43,flair,0.2024464072301616,51
qmmf,44,t1,0.11093830691226778,51
qmmf,44,t1ce,0.3047296581116615,51
qmmf,44,t2,0.16314819372010364,51
qmmf,44,flair,0.19645715337371378,51
hemis,42,t1,0.094823496005305,51
hemis,42,t1ce,0.24311050536525633,51
hemis,42,t2,0.17353073728698595,51
hemis,42,flair,0.172436606935708,51
hemis,43,t1,0.08247414859055145,51
hemis,43,t1ce,0.2360000002809819,51
hemis,43,t2,0.16592065329988812,51
hemis,43,flair,0.19995767283211513,51
hemis,44,t1,0.09403945423048216,51
hemis,44,t1ce,0.2487465449118501,51
hemis,44,t2,0.16670794460743613,51
hemis,44,flair,0.1756359901503479,51
no_quality,42,t1,0.11519020906261467,51
no_quality,42,t1ce,0.30244464540673954,51
no_quality,42,t2,0.16520185553803196,51
no_quality,42,flair,0.1958474949646546,51
no_quality,43,t1,0.11174033880492042,51
no_quality,43,t1ce,0.28374575311115513,51
no_quality,43,t2,0.17741149146269958,51
no_quality,43,flair,0.20683240217645213,51
no_quality,44,t1,0.11819796320039996,51
no_quality,44,t1ce,0.30619074583752737,51
no_quality,44,t2,0.1630538543943341,51
no_quality,44,flair,0.1906344196878609,51
unet25d,42,t1,0.1062807689649781,51
unet25d,42,t1ce,0.2594789953864719,51
unet25d,42,t2,0.17282419255871237,51
unet25d,42,flair,0.21696631039012715,51
unet25d,43,t1,0.09652735793661198,51
unet25d,43,t1ce,0.2849794097625702,51
unet25d,43,t2,0.17414300856473938,51
unet25d,43,flair,0.21456601532299424,51
unet25d,44,t1,0.1062025777409118,51
unet25d,44,t1ce,0.27766009365934996,51
unet25d,44,t2,0.17124757706390714,51
unet25d,44,flair,0.20922322403964574,51
