model,modality,mean,seed_sd,n_groups,n_training_seeds,empty_value
qmmf,t1,0.10840017948827696,0.0023199558808191935,51,3,0.0
qmmf,t1ce,0.29635430511276145,0.007557205081864482,51,3,0.0
qmmf,t2,0.16814085525488273,0.004977251523888315,51,3,0.0
qmmf,flair,0.19755901549311125,0.00444021016437726,51,3,0.0
hemis,t1,0.09044569960877953,0.0069146872382868305,51,3,0.0
hemis,t1ce,0.24261901685269613,0.006387469821859259,51,3,0.0
hemis,t2,0.1687197783981034,0.004184967260758884,51,3,0.0
hemis,flair,0.18267675663939034,0.015050965470145535,51,3,0.0
no_quality,t1,0.11504283702264502,0.003231333640603636,51,3,0.0
no_quality,t1ce,0.29746038145180737,0.012024000582212759,51,3,0.0
no_quality,t2,0.1685557337983552,0.007744146827477337,51,3,0.0
no_quality,flair,0.1977714389429892,0.008268605051579406,51,3,0.0
unet25d,t1,0.10300356821416728,0.005608698880864887,51,3,0.0
unet25d,t1ce,0.27403949960279733,0.013130091748725072,51,3,0.0
unet25d,t2,0.17273825939578633,0.0014496272884333991,51,3,0.0
unet25d,flair,0.21358518325092238,0.003963630939297508,51,3,0.0
