model,seed,subset,group_macro_dice,n_groups
qmmf,42,t1,0.3887507548582343,51
qmmf,42,t1ce,0.5902094568479973,51
qmmf,42,t2,0.4929029281620294,51
qmmf,42,flair,0.5247124012171029,51
qmmf,42,t1+t1ce,0.6135537738326452,51
qmmf,42,t1+t2,0.5403878780278091,51
qmmf,42,t1+flair,0.5713150973994984,51
qmmf,42,t1ce+t2,0.7277781412509818,51
qmmf,42,t1ce+flair,0.7418778889785184,51
qmmf,42,t2+flair,0.5700421861588354,51
qmmf,42,t1+t1ce+t2,0.7242516433643043,51
qmmf,42,t1+t1ce+flair,0.7467336851207482,51
qmmf,42,t1+t2+flair,0.5881916036444683,51
qmmf,42,t1ce+t2+flair,0.7670017679586707,51
qmmf,42,t1+t1ce+t2+flair,0.7641067535553541,51
qmmf,43,t1,0.3859292764713377,51
qmmf,43,t1ce,0.5936621973276676,51
qmmf,43,t2,0.5038032174433459,51
qmmf,43,flair,0.5465449149770913,51
qmmf,43,t1+t1ce,0.6179014139492257,51
qmmf,43,t1+t2,0.5513346174812793,51
qmmf,43,t1+flair,0.5838117061793832,51
qmmf,43,t1ce+t2,0.7326785180975185,51
qmmf,43,t1ce+flair,0.7550466995033727,51
qmmf,43,t2+flair,0.5976855409945601,51
qmmf,43,t1+t1ce+t2,0.737491916561807,51
qmmf,43,t1+t1ce+flair,0.7553591487981786,51
qmmf,43,t1+t2+flair,0.6063548600991523,51
qmmf,43,t1ce+t2+flair,0.773300175589825,51
qmmf,43,t1+t1ce+t2+flair,0.7719830003739966,51
qmmf,44,t1,0.401590045562648,51
qmmf,44,t1ce,0.6241755435964117,51
qmmf,44,t2,0.5040479252145101,51
qmmf,44,flair,0.5428703675722752,51
qmmf,44,t1+t1ce,0.6507731128330734,51
qmmf,44,t1+t2,0.5475952339799676,51
qmmf,44,t1+flair,0.5817686799058519,51
qmmf,44,t1ce+t2,0.7338488516100078,51
qmmf,44,t1ce+flair,0.7605343957523851,51
qmmf,44,t2+flair,0.5882321925140721,51
qmmf,44,t1+t1ce+t2,0.7351473774138475,51
qmmf,44,t1+t1ce+flair,0.7658223189827819,51
qmmf,44,t1+t2+flair,0.5989455852357193,51
qmmf,44,t1ce+t2+flair,0.7752244740618499,51
qmmf,44,t1+t1ce+t2+flair,0.775273312117747,51
hemis,42,t1,0.3298904162387694,51
hemis,42,t1ce,0.5238900823359453,51
hemis,42,t2,0.4488234533527975,51
hemis,42,flair,0.47147179318560933,51
hemis,42,t1+t1ce,0.513519285944047,51
hemis,42,t1+t2,0.48840011150373125,51
hemis,42,t1+flair,0.5059126015392043,51
hemis,42,t1ce+t2,0.66249573705357,51
hemis,42,t1ce+flair,0.6251200343608241,51
hemis,42,t2+flair,0.5352502534021907,51
hemis,42,t1+t1ce+t2,0.6555042281388721,51
hemis,42,t1+t1ce+flair,0.6395051035808629,51
hemis,42,t1+t2+flair,0.5633269060286741,51
hemis,42,t1ce+t2+flair,0.6675367388256228,51
hemis,42,t1+t1ce+t2+flair,0.6839013455932554,51
hemis,43,t1,0.296602137870902,51
hemis,43,t1ce,0.4679866254151288,51
hemis,43,t2,0.3985620932652479,51
hemis,43,flair,0.4729012593800674,51
hemis,43,t1+t1ce,0.47762685926517146,51
hemis,43,t1+t2,0.46284490363805925,51
hemis,43,t1+flair,0.4935941411679317,51
hemis,43,t1ce+t2,0.6428437487114539,51
hemis,43,t1ce+flair,0.6363791727534254,51
hemis,43,t2+flair,0.541650908795719,51
hemis,43,t1+t1ce+t2,0.6244833456332617,51
hemis,43,t1+t1ce+flair,0.6401129073292012,51
hemis,43,t1+t2+flair,0.5540545083282101,51
hemis,43,t1ce+t2+flair,0.6818556375258302,51
hemis,43,t1+t1ce+t2+flair,0.6843524750035367,51
hemis,44,t1,0.30242779905792383,51
hemis,44,t1ce,0.5008434624322337,51
hemis,44,t2,0.3987972187901548,51
hemis,44,flair,0.44507340133826073,51
hemis,44,t1+t1ce,0.5028587163783108,51
hemis,44,t1+t2,0.4883175167861201,51
