model,subset,mean,seed_sd,n_groups,n_training_seeds
qmmf,t1,0.39209002563073997,0.008347333053252297,51,3
qmmf,t1ce,0.6026823992573589,0.018693496045135784,51,3
qmmf,t2,0.5002513569399618,0.006365102088857324,51,3
qmmf,flair,0.5380425612554899,0.01168954445837456,51,3
qmmf,t1+t1ce,0.6274094335383148,0.02034997853284061,51,3
qmmf,t1+t2,0.5464392431630186,0.005564172197388712,51,3
qmmf,t1+flair,0.5789651611615778,0.006703439099558937,51,3
qmmf,t1ce+t2,0.7314351703195028,0.0032206856938575236,51,3
qmmf,t1ce+flair,0.752486328078092,0.009588166541491559,51,3
qmmf,t2+flair,0.5853199732224892,0.014049894396227551,51,3
qmmf,t1+t1ce+t2,0.7322969791133196,0.007065393579968975,51,3
qmmf,t1+t1ce+flair,0.7559717176339028,0.00955904891260472,51,3
qmmf,t1+t2+flair,0.5978306829931133,0.009132810439157273,51,3
qmmf,t1ce+t2+flair,0.7718421392034486,0.004300886710064958,51,3
qmmf,t1+t1ce+t2+flair,0.7704543553490325,0.005738081059125825,51,3
hemis,t1,0.30964011772253175,0.017777528640506985,51,3
hemis,t1ce,0.49757339006110257,0.028094824325998573,51,3
hemis,t2,0.4153942551360667,0.028950773583157004,51,3
hemis,flair,0.4631488179679792,0.015670078434829236,51,3
hemis,t1+t1ce,0.4980016205291764,0.018432582789462085,51,3
hemis,t1+t2,0.4798541773093035,0.014730520988386923,51,3
hemis,t1+flair,0.5001292945904497,0.006193550784464112,51,3
hemis,t1ce+t2,0.65586113118702,0.011274087075241112,51,3
hemis,t1ce+flair,0.6310601619649819,0.005655209006748511,51,3
hemis,t2+flair,0.5355119651429083,0.0060123613146640595,51,3
hemis,t1+t1ce+t2,0.645796123324852,0.01848175079107184,51,3
hemis,t1+t1ce+flair,0.6421754211872464,0.004110003236268502,51,3
hemis,t1+t2+flair,0.5595046607694774,0.00484581274132318,51,3
hemis,t1ce+t2+flair,0.6746224295365316,0.007160589082419687,51,3
hemis,t1+t1ce+t2+flair,0.6844612514989695,0.0006214753023314125,51,3
no_quality,t1,0.4089290268898833,0.016097406780074396,51,3
no_quality,t1ce,0.6071146723590138,0.04469080596058882,51,3
no_quality,t2,0.5053695265877574,0.004896904110555367,51,3
no_quality,flair,0.548075919085571,0.003048766944297547,51,3
no_quality,t1+t1ce,0.6381908450808963,0.03546910270145787,51,3
no_quality,t1+t2,0.5528653374152683,0.0047068413719639005,51,3
no_quality,t1+flair,0.5855207992528673,0.0011052706031492421,51,3
no_quality,t1ce+t2,0.739123523818713,0.004492876031149255,51,3
no_quality,t1ce+flair,0.7589007254165505,0.0030427204189142037,51,3
no_quality,t2+flair,0.5920830428836542,0.0029766169912704035,51,3
no_quality,t1+t1ce+t2,0.7463597127244022,0.0013312380585490447,51,3
no_quality,t1+t1ce+flair,0.7650841039427726,0.0036117225908936824,51,3
no_quality,t1+t2+flair,0.6061869018529347,0.0019104026706019202,51,3
no_quality,t1ce+t2+flair,0.7754348333877271,0.0011870367101414695,51,3
no_quality,t1+t1ce+t2+flair,0.7788303912157969,0.0008361411818667859,51,3
unet25d,t1,0.33978353480855056,0.01363778797779888,51,3
unet25d,t1ce,0.5193899965661596,0.022932624761647556,51,3
unet25d,t2,0.4777755969156729,0.0072903875862221235,51,3
unet25d,flair,0.52815712376577,0.008343871998391643,51,3
unet25d,t1+t1ce,0.5739764767854135,0.020883102250597047,51,3
unet25d,t1+t2,0.5225461211808894,0.00598425577289646,51,3
unet25d,t1+flair,0.5635191266169625,0.0073059377926348494,51,3
unet25d,t1ce+t2,0.6894521566106556,0.01683954729071653,51,3
unet25d,t1ce+flair,0.7213731485374919,0.010541640569070681,51,3
unet25d,t2+flair,0.5702138900095276,0.0008970525779327678,51,3
unet25d,t1+t1ce+t2,0.7061644390466103,0.011621304833826321,51,3
unet25d,t1+t1ce+flair,0.7418766850804666,0.007831768798874341,51,3
unet25d,t1+t2+flair,0.5808821711761645,0.0027687041628085634,51,3
unet25d,t1ce+t2+flair,0.7520034749092978,0.010098769046145165,51,3
unet25d,t1+t1ce+t2+flair,0.7633665104636732,0.007380424265630901,51,3
