model,region,mean_group_dice_nonempty_reference,seed_sd,n_training_seeds,n_nonempty_reference,n_empty_reference,n_groups_with_nonempty_reference
qmmf,wt,0.8739645222950205,0.004980652190582147,3,66,0,51
qmmf,tc,0.7687646364228155,0.013449933977156742,3,66,0,51
qmmf,et,0.6625371438682657,0.007130792059206575,3,64,2,49
hemis,wt,0.8371829975256003,0.0030286446579101136,3,66,0,51
hemis,tc,0.6864491284270297,0.0012262836428059546,3,66,0,51
hemis,et,0.521389345531588,0.00701908465344844,3,64,2,49
no_quality,wt,0.8768689758025552,0.000492271185503264,3,66,0,51
no_quality,tc,0.7871939931077089,0.0039229486628362545,3,66,0,51
no_quality,et,0.6646893079913451,0.0050229202474566925,3,64,2,49
unet25d,wt,0.8543164519978946,0.007860736623372834,3,66,0,51
unet25d,tc,0.7673774571941414,0.005053621271725902,3,66,0,51
unet25d,et,0.6627900760618194,0.011659973592044686,3,64,2,49
