model,seed,metric,value,n_groups
hemis,42,full_group_macro_dice,0.6829170636702871,51
no_quality,42,full_group_macro_dice,0.7772118279588144,51
qmmf,42,full_group_macro_dice,0.7629346682065457,51
unet25d,42,full_group_macro_dice,0.7543260436723616,51
hemis,43,full_group_macro_dice,0.6838915556309912,51
no_quality,43,full_group_macro_dice,0.7773980499491105,51
qmmf,43,full_group_macro_dice,0.7700265945509426,51
unet25d,43,full_group_macro_dice,0.7689375596478206,51
hemis,44,full_group_macro_dice,0.6842272041942752,51
no_quality,44,full_group_macro_dice,0.7761428494726508,51
qmmf,44,full_group_macro_dice,0.7738618919487797,51
unet25d,44,full_group_macro_dice,0.763168214302485,51
hemis,42,mean_subset_macro_dice,0.5543032060722651,51
no_quality,42,mean_subset_macro_dice,0.6445485917160821,51
qmmf,42,mean_subset_macro_dice,0.6234543973584799,51
unet25d,42,mean_subset_macro_dice,0.5947887699770699,51
hemis,43,mean_subset_macro_dice,0.5383900482722098,51
no_quality,43,mean_subset_macro_dice,0.6319263157085351,51
qmmf,43,mean_subset_macro_dice,0.6341924802565161,51
unet25d,43,mean_subset_macro_dice,0.6100002969917763,51
hemis,44,mean_subset_macro_dice,0.5458537092412447,51
no_quality,44,mean_subset_macro_dice,0.6451389649581447,51
qmmf,44,mean_subset_macro_dice,0.6390566277568767,51
unet25d,44,mean_subset_macro_dice,0.6053070235258151,51
hemis,42,worst_subset_macro_dice,0.3067567495579551,51
no_quality,42,worst_subset_macro_dice,0.393432260162711,51
qmmf,42,worst_subset_macro_dice,0.35514063918205724,51
unet25d,42,worst_subset_macro_dice,0.31369943658573657,51
hemis,43,worst_subset_macro_dice,0.251754410634354,51
no_quality,43,worst_subset_macro_dice,0.37318003926280024,51
qmmf,43,worst_subset_macro_dice,0.3672540685151837,51
unet25d,43,worst_subset_macro_dice,0.3026857755630653,51
hemis,44,worst_subset_macro_dice,0.26593296527435856,51
no_quality,44,worst_subset_macro_dice,0.39921034469681754,51
qmmf,44,worst_subset_macro_dice,0.37908282073174954,51
unet25d,44,worst_subset_macro_dice,0.32563747802961074,51
