model,case_id,subset,group_id,n_modalities,macro_dice
qmmf,BRATS_021,flair,sg_8a56096263e207fc,1,0.6001428028136825
qmmf,BRATS_021,t1,sg_8a56096263e207fc,1,0.48333173574028515
qmmf,BRATS_021,t1+flair,sg_8a56096263e207fc,2,0.6944241254067656
qmmf,BRATS_021,t1+t1ce,sg_8a56096263e207fc,2,0.5678292239459262
qmmf,BRATS_021,t1+t1ce+flair,sg_8a56096263e207fc,3,0.669126319840165
qmmf,BRATS_021,t1+t1ce+t2,sg_8a56096263e207fc,3,0.7390796048659448
qmmf,BRATS_021,t1+t1ce+t2+flair,sg_8a56096263e207fc,4,0.7786141339365164
qmmf,BRATS_021,t1+t2,sg_8a56096263e207fc,2,0.6361032979134053
qmmf,BRATS_021,t1+t2+flair,sg_8a56096263e207fc,3,0.7661370590143707
qmmf,BRATS_021,t1ce,sg_8a56096263e207fc,1,0.3361003872449883
qmmf,BRATS_021,t1ce+flair,sg_8a56096263e207fc,2,0.6064373063526841
qmmf,BRATS_021,t1ce+t2,sg_8a56096263e207fc,2,0.674025502013336
qmmf,BRATS_021,t1ce+t2+flair,sg_8a56096263e207fc,3,0.7591834522791826
qmmf,BRATS_021,t2,sg_8a56096263e207fc,1,0.4231745753395629
qmmf,BRATS_021,t2+flair,sg_8a56096263e207fc,2,0.7263537301624575
qmmf,BRATS_111,flair,sg_74969a1c98337c11,1,0.614843091452838
qmmf,BRATS_111,t1,sg_74969a1c98337c11,1,0.4481827522026533
qmmf,BRATS_111,t1+flair,sg_74969a1c98337c11,2,0.6897019220638371
qmmf,BRATS_111,t1+t1ce,sg_74969a1c98337c11,2,0.8182451155299976
qmmf,BRATS_111,t1+t1ce+flair,sg_74969a1c98337c11,3,0.9198733529562674
qmmf,BRATS_111,t1+t1ce+t2,sg_74969a1c98337c11,3,0.8744781368128964
qmmf,BRATS_111,t1+t1ce+t2+flair,sg_74969a1c98337c11,4,0.9114703454543177
qmmf,BRATS_111,t1+t2,sg_74969a1c98337c11,2,0.5910905360116969
qmmf,BRATS_111,t1+t2+flair,sg_74969a1c98337c11,3,0.6735665868039659
qmmf,BRATS_111,t1ce,sg_74969a1c98337c11,1,0.7939087893771654
qmmf,BRATS_111,t1ce+flair,sg_74969a1c98337c11,2,0.9145030548750567
qmmf,BRATS_111,t1ce+t2,sg_74969a1c98337c11,2,0.852262932991172
qmmf,BRATS_111,t1ce+t2+flair,sg_74969a1c98337c11,3,0.9044055703013013
qmmf,BRATS_111,t2,sg_74969a1c98337c11,1,0.4729074815187251
qmmf,BRATS_111,t2+flair,sg_74969a1c98337c11,2,0.6118821432986977
qmmf,BRATS_172,flair,sg_cb857fb98a0abf51,1,0.7115501644955176
qmmf,BRATS_172,t1,sg_cb857fb98a0abf51,1,0.6140535032168671
qmmf,BRATS_172,t1+flair,sg_cb857fb98a0abf51,2,0.7411846436124817
qmmf,BRATS_172,t1+t1ce,sg_cb857fb98a0abf51,2,0.8792231103847571
qmmf,BRATS_172,t1+t1ce+flair,sg_cb857fb98a0abf51,3,0.930780640872658
qmmf,BRATS_172,t1+t1ce+t2,sg_cb857fb98a0abf51,3,0.9244977434048754
qmmf,BRATS_172,t1+t1ce+t2+flair,sg_cb857fb98a0abf51,4,0.9372874398276139
qmmf,BRATS_172,t1+t2,sg_cb857fb98a0abf51,2,0.736079428007856
qmmf,BRATS_172,t1+t2+flair,sg_cb857fb98a0abf51,3,0.75615196178888
qmmf,BRATS_172,t1ce,sg_cb857fb98a0abf51,1,0.8673952567757253
qmmf,BRATS_172,t1ce+flair,sg_cb857fb98a0abf51,2,0.9274564243662565
qmmf,BRATS_172,t1ce+t2,sg_cb857fb98a0abf51,2,0.9223436376397011
qmmf,BRATS_172,t1ce+t2+flair,sg_cb857fb98a0abf51,3,0.9350665389662769
qmmf,BRATS_172,t2,sg_cb857fb98a0abf51,1,0.724441392016693
qmmf,BRATS_172,t2+flair,sg_cb857fb98a0abf51,2,0.7391626442483122
qmmf,BRATS_219,flair,sg_4634c4d061d30852,1,0.6691233744399566
qmmf,BRATS_219,t1,sg_4634c4d061d30852,1,0.6603902968054517
qmmf,BRATS_219,t1+flair,sg_4634c4d061d30852,2,0.6413459381274342
qmmf,BRATS_219,t1+t1ce,sg_4634c4d061d30852,2,0.8360480981540278
qmmf,BRATS_219,t1+t1ce+flair,sg_4634c4d061d30852,3,0.8866370252570347
qmmf,BRATS_219,t1+t1ce+t2,sg_4634c4d061d30852,3,0.8853315329685927
qmmf,BRATS_219,t1+t1ce+t2+flair,sg_4634c4d061d30852,4,0.8970394555595357
qmmf,BRATS_219,t1+t2,sg_4634c4d061d30852,2,0.6677188646736969
qmmf,BRATS_219,t1+t2+flair,sg_4634c4d061d30852,3,0.6634079855211031
qmmf,BRATS_219,t1ce,sg_4634c4d061d30852,1,0.809193864892456
qmmf,BRATS_219,t1ce+flair,sg_4634c4d061d30852,2,0.8890194571430436
qmmf,BRATS_219,t1ce+t2,sg_4634c4d061d30852,2,0.8766612236045811
qmmf,BRATS_219,t1ce+t2+flair,sg_4634c4d061d30852,3,0.9032414121434186
qmmf,BRATS_219,t2,sg_4634c4d061d30852,1,0.6286404684051998
qmmf,BRATS_219,t2+flair,sg_4634c4d061d30852,2,0.7123914993472565
qmmf,BRATS_230,flair,sg_1669c905c2882ce2,1,0.2878020551150477
qmmf,BRATS_230,t1,sg_1669c905c2882ce2,1,0.2796725517644277
qmmf,BRATS_230,t1+flair,sg_1669c905c2882ce2,2,0.47400266608654457
qmmf,BRATS_230,t1+t1ce,sg_1669c905c2882ce2,2,0.41409059043055846
qmmf,BRATS_230,t1+t1ce+flair,sg_1669c905c2882ce2,3,0.6017845100219853
qmmf,BRATS_230,t1+t1ce+t2,sg_1669c905c2882ce2,3,0.6142895440544575
qmmf,BRATS_230,t1+t1ce+t2+flair,sg_1669c905c2882ce2,4,0.6118132565464866
qmmf,BRATS_230,t1+t2,sg_1669c905c2882ce2,2,0.42500793266105946
qmmf,BRATS_230,t1+t2+flair,sg_1669c905c2882ce2,3,0.46388666385538135
qmmf,BRATS_230,t1ce,sg_1669c905c2882ce2,1,0.3843090591400972
qmmf,BRATS_230,t1ce+flair,sg_1669c905c2882ce2,2,0.5480860995242566
qmmf,BRATS_230,t1ce+t2,sg_1669c905c2882ce2,2,0.6029421760338209
qmmf,BRATS_230,t1ce+t2+flair,sg_1669c905c2882ce2,3,0.6236304253367961
qmmf,BRATS_230,t2,sg_1669c905c2882ce2,1,0.3972673806550964
qmmf,BRATS_230,t2+flair,sg_1669c905c2882ce2,2,0.4756064572959397
qmmf,BRATS_258,flair,sg_9568e8757c7f7a03,1,0.589659868825203
