model,metric,mean,ci_low,ci_high,n_groups,resampling_unit
qmmf,outer_macro_dice,0.8063663311861036,0.771870683960963,0.8364961825707391,55,group
hemis,outer_macro_dice,0.7032851745252239,0.6584699468208954,0.7446965900616291,55,group
unet25d,outer_macro_dice,0.7864360129949144,0.7442522249036645,0.8212101231550549,55,group
no_quality,outer_macro_dice,0.8070471999415566,0.7644622650593703,0.8418048889543335,55,group
no_variance,outer_macro_dice,0.8075280999656618,0.7747683431979724,0.836378867130415,55,group
no_max,outer_macro_dice,0.8103025621384645,0.7758033200489348,0.8403993399055434,55,group
no_consistency,outer_macro_dice,0.8064312967141106,0.7724461450000002,0.8359201709565849,55,group
shuffled_quality,outer_macro_dice,0.8041618150560147,0.7621548768176388,0.8381096741957356,55,group
matched_moment_fusion,outer_macro_dice,0.8062468395046009,0.7724283590729508,0.8353516263112432,55,group
qmmf,mean_subset_macro_dice,0.6560086480893983,0.604480127561392,0.7057262210179582,16,group
hemis,mean_subset_macro_dice,0.5371746444800676,0.4738172867780841,0.5993730972112431,16,group
unet25d,mean_subset_macro_dice,0.6120127537679796,0.54779985821031,0.6736532346171222,16,group
no_quality,mean_subset_macro_dice,0.6600807235895361,0.6068071737251223,0.7102048056988254,16,group
no_variance,mean_subset_macro_dice,0.6566767598307391,0.6044802559349602,0.70750966081564,16,group
no_max,mean_subset_macro_dice,0.661652915264313,0.6099422364204824,0.7110156143481078,16,group
no_consistency,mean_subset_macro_dice,0.6499811361015001,0.5978905443513147,0.7007052529345759,16,group
shuffled_quality,mean_subset_macro_dice,0.6430744022454814,0.5931900244551227,0.6942479056445396,16,group
matched_moment_fusion,mean_subset_macro_dice,0.6522002266315228,0.5993502706363399,0.7054254629879941,16,group
qmmf,worst_subset_macro_dice,0.361662721308436,0.2854566340543299,0.44247458471813816,16,group
hemis,worst_subset_macro_dice,0.22365229010110033,0.1555547920476743,0.2950514228416709,16,group
unet25d,worst_subset_macro_dice,0.31254336062539073,0.22832981871769356,0.4013019038638934,16,group
no_quality,worst_subset_macro_dice,0.3672859975712277,0.2849131224234691,0.44904603666294357,16,group
no_variance,worst_subset_macro_dice,0.34933997446205034,0.26561302091975425,0.43456880381628815,16,group
no_max,worst_subset_macro_dice,0.3527110692397061,0.2731299588334363,0.4336330486127978,16,group
no_consistency,worst_subset_macro_dice,0.3421279767478367,0.2662911533983829,0.42533446525598867,16,group
shuffled_quality,worst_subset_macro_dice,0.28934667710588435,0.20131885497170438,0.3829525234207003,16,group
matched_moment_fusion,worst_subset_macro_dice,0.35617111292154396,0.2754150633302814,0.4414850425528266,16,group
