model,region,dice_nonempty_reference,group_dice_nonempty_reference,n_groups_with_nonempty_reference,n_nonempty_reference,n_empty_reference,n_empty_predictions,n_empty_reference_false_positives
qmmf,et,0.7853297963372498,0.775482746446087,53,89,2,0,2
qmmf,tc,0.7962995321917996,0.7849270821459231,55,91,0,0,0
qmmf,wt,0.8698115484381552,0.864959693438793,55,91,0,0,0
hemis,et,0.6435351023890991,0.6432345332359268,53,89,2,0,2
hemis,tc,0.6826644010047864,0.6772981353537911,55,91,0,0,0
hemis,wt,0.8013902900595373,0.7991331169564323,55,91,0,0,0
unet25d,et,0.7664521307966605,0.7582774146487975,53,89,2,0,2
unet25d,tc,0.7782587758370205,0.7644684159537034,55,91,0,0,0
unet25d,wt,0.8541270269206395,0.8433899371020909,55,91,0,0,0
no_quality,et,0.7869731787096667,0.7734269490441106,53,89,2,0,2
no_quality,tc,0.8034701698812634,0.7894498808505067,55,91,0,0,0
no_quality,wt,0.8702538424728283,0.862370191164995,55,91,0,0,0
no_variance,et,0.7876903848493736,0.7759518944608702,53,89,2,0,2
no_variance,tc,0.7966233148203575,0.7862702007849839,55,91,0,0,0
no_variance,wt,0.8691244989165597,0.865374254151087,55,91,0,0,0
no_max,et,0.7866623869913091,0.777273701117545,53,89,2,0,2
no_max,tc,0.800808192251121,0.79338452968043,55,91,0,0,0
no_max,wt,0.8678049815211389,0.8642534695509737,55,91,0,0,0
no_consistency,et,0.785148531055517,0.776219001527899,53,89,2,0,2
no_consistency,tc,0.7960576408367201,0.7851256464445009,55,91,0,0,0
no_consistency,wt,0.8703574899531044,0.865519398535515,55,91,0,0,0
shuffled_quality,et,0.7959462784406008,0.7827770671746717,53,89,2,0,2
shuffled_quality,tc,0.7917674405681535,0.7772521103063551,55,91,0,0,0
shuffled_quality,wt,0.8638514815401552,0.8585181383885412,55,91,0,0,0
matched_moment_fusion,et,0.7754962394268352,0.764126230751557,53,89,2,0,2
matched_moment_fusion,tc,0.8011740712739213,0.7918605452064033,55,91,0,0,0
matched_moment_fusion,wt,0.8730025585657132,0.8675730124429292,55,91,0,0,0
